A1	C	902265
A2	C	875363
A4	C	714186
A6	C	1846276
A9	C	1616540
A10	C	1080782
A11	C	3370755
A12	C	925320
A13	C	1362513
A15	C	2113376
A16	C	910517
A17	C	831240
A18	C	633997
A19	C	1491011
A21	C	1070854
A22	C	2503751
A24	C	1011425
A25	C	1558479
A26	C	892500
A27	C	1056555
A28	C	1533108
A29	C	888258
A30	C	971000
A31	C	2478788
A32	C	465264
A33	C	1163463
A34	C	1243190
A35	C	1161378
A36	C	2994794
A37	C	2196749
A38	C	2436775
A39	C	2442350
A41	C	947133
A42	C	681057
A43	C	1592217
A44	C	1479401
A45	C	1138242
A46	C	2828347
A47	C	1243718
A48	C	1079819
A49	C	2234729
A50	C	1280475
A51	C	1133272
A52	C	2280138
A53	C	1879402
A54	C	586597
A55	C	823031
A56	C	1123263
A57	C	1366807
A58	C	989294
A59	C	884726
A60	C	792512
A61	C	819399
A62	C	648924
A63	C	935546
A64	C	989054
A66	C	1357157
A67	C	980789
A68	C	1016064
A69	C	1063588
A70	C	1158440
A71	C	1632450
A72	C	920202
A73	C	1767949
A75	C	875186
A77	C	1138625
A78	C	838880
A79	C	974626
B1	C	4640586
B2	C	2467975
B4	C	3233994
B5	C	2098323
B7	C	1517806
B8	C	2328877
B9	C	6339261
B10	C	5190248
B11	C	2672612
B12	C	1254442
B13	C	2336625
B14	C	1654690
B15	C	4314939
B16	C	2687230
B17	C	1937346
B18	C	2608593
B20	C	2646771
B22	C	2575803
B23	C	2022087
B24	C	846337
B25	C	1665831
B26	C	2327090
B27	C	2306220
B28	C	1834834
B29	C	1276912
B30	C	4400153
B31	C	2332338
B32	C	3977193
B33	C	2316955
B34	C	3120085
B36	C	4428958
B37	C	4370152
B38	C	444830
B39	C	1385225
B40	C	1594453
B41	C	2053452
B42	C	1359146
B43	C	2551596
B44	C	1730515
B45	C	1335801
B46	C	2117239
B47	C	1815479
B48	C	2099650
B49	C	2913482
B50	C	1892653
B52	C	1314008
B55	C	1562066
B56	C	2754725
B57	C	2186597
B58	C	2468074
B61	C	3161823
B62	C	2071651
B63	C	1562352
B65	C	1251060
B66	C	2086156
B67	C	915571
B68	C	2369002
B69	C	1373484
B70	C	2286738
B71	C	1959025
B72	C	953348
B73	C	922858
B74	C	3310589
B75	C	2009575
B76	C	1336183
B77	C	1582043
B78	C	1342056
B79	C	2286326
C1	C	4806003
C2	C	4843286
C3	C	4794067
C4	C	3925931
C5	C	2150965
C6	C	2314366
C8	C	4883473
C9	C	4653685
C10	C	3747465
C11	C	3582716
