ERR2840913	ERR2840898	ERR2840915	ERR2840901	ERR2840908	ERR2840936	ERR2840926	ERR2840892	ERR2840903	ERR2840906	ERR2840893	ERR2840925	ERR2840934	ERR2840910	ERR2840940	ERR2840924	ERR2840894	ERR2840937	ERR2840897	ERR2840914	ERR2840890	ERR2840928	ERR2840922	ERR2840911	ERR2840929	ERR2840912	ERR2840888	ERR2840923	ERR2840916	ERR2840909	ERR2840939	ERR2840895	ERR2840917	ERR2840938	ERR2840896	ERR2840889	ERR2840900	ERR2840904	ERR2840941	ERR2840919	ERR2840902	ERR2840942	ERR2840921	ERR2840935	ERR2840899	ERR2840932	ERR2840930	ERR2840933	ERR2840905	ERR2840891	ERR2840927	ERR2840931	ERR2840918	ERR2840907	ERR2840920
Candidatus Wallbacteria	4	5	22	5	1	7	15	19	0	9	0	18	2	6	1	1	20	10	7	12	8	3	6	0	6	9	7	6	5	0	1	6	7	21	4	3	16	4	15	3	24	18	16	15	2	2	7	2	2	2	10	15	4	17	15
Candidatus Wirthbacteria	0	0	2	0	0	16	3	1	3	5	0	1	0	1	1	2	1	2	2	0	3	0	1	0	0	3	1	50	1	0	5	2	13	9	0	0	0	0	2	18	8	1	3	4	1	18	2	8	0	0	5	6	0	2	0
Candidatus Desantisbacteria	3	2	11	2	4	5	13	6	3	8	0	9	20	16	2	2	3	6	9	4	5	3	18	5	45	8	4	24	2	2	0	4	50	8	7	1	3	3	18	21	16	29	17	4	3	4	13	5	2	6	19	18	2	7	9
Candidatus Goldbacteria	2	5	6	30	1	2	0	30	5	5	1	5	3	0	3	0	1	4	1	9	3	0	4	0	13	14	11	5	0	0	1	1	4	9	1	2	8	3	10	0	13	8	11	6	4	2	5	7	0	1	4	10	1	1	0
candidate division FCPU426	1	3	30	1	0	15	63	30	1	18	0	30	28	40	10	2	21	3	14	7	6	1	15	0	5	4	5	24	0	1	9	7	13	19	3	7	7	0	35	36	28	12	44	5	2	4	2	18	3	1	29	11	4	8	13
Bacteroidetes	5117761	6202083	3509789	5472331	8902720	5287056	477284	4151541	3658685	4764977	3556279	1273592	4503873	4246266	9029471	3221947	3237398	5252627	1976643	4919641	4547413	8673283	2481464	9599574	6467353	3369351	2747641	5367098	4910256	3625009	7600887	6539774	1976848	7107850	3712269	4114976	4183462	3992316	6874855	9760362	3337302	5191395	1257268	3100960	3463406	5263883	4520631	6302210	8385389	3211687	2418045	6108419	3211096	3178263	4485753
Chlorobi	20	14	101	22	48	55	97	109	16	75	6	272	69	15	39	25	104	75	95	49	46	6	139	6	86	84	51	67	28	4	86	78	70	145	32	21	37	46	87	62	75	118	189	110	39	29	59	52	18	26	97	56	24	42	68
Ignavibacteriae	42	67	324	83	32	320	239	268	60	208	93	356	160	62	115	108	238	184	129	142	273	42	477	45	419	123	97	307	96	92	173	146	261	266	100	60	141	74	720	483	284	858	400	148	98	287	374	239	47	58	316	336	128	108	255
Candidatus Kapabacteria	0	8	20	0	0	4	20	9	5	6	0	16	3	2	4	3	17	6	11	5	21	1	11	0	5	1	6	1	10	2	0	17	10	21	1	2	1	2	1	2	11	19	28	10	4	3	3	7	4	0	5	11	2	13	6
Rhodothermaeota	15	7	12	0	0	21	23	10	1	26	0	72	18	1	0	8	42	27	20	14	21	3	12	2	30	3	18	18	11	0	18	6	17	5	3	8	20	1	44	0	46	27	124	18	3	9	3	7	4	2	29	37	12	12	4
Balneolaeota	7	12	87	11	4	33	92	21	8	10	8	22	27	16	37	11	37	8	22	11	8	4	129	18	148	20	31	70	7	3	16	22	48	91	39	10	12	21	50	22	19	38	39	11	9	17	4	51	14	14	25	29	7	22	16
Cyanobacteria	284	428	1259	414	173	1433	1388	882	535	867	186	1507	795	508	1128	764	1784	791	668	640	1266	872	3676	174	22838	644	632	2784	705	184	1138	3103	1160	20828	426	1902	963	421	1799	2179	1356	109857	3995	1093	461	24459	1132	888	239	641	1402	6778	451	469	1321
Candidatus Melainabacteria	122196	1447	35272	4780	5143	7645	7053	133827	3812	9024	3140	4152	5500	2032	23528	9197	8775	9473	280	5974	32439	78186	16043	236	52792	106594	2898	6595	2637	18890	10129	23948	300	46990	1291	7261	23743	3429	3297	17663	27406	107028	11781	9683	28345	43365	5828	2740	435	21532	6297	24209	1082	1261	8977
Candidatus Margulisbacteria	4	4	27	1	2	17	30	6	0	52	0	44	6	2	2	0	13	4	3	4	2	1	25	2	29	1	1	7	0	0	1	0	25	14	4	0	3	7	22	6	13	6	8	5	1	3	2	2	4	9	14	40	15	3	4
Candidatus Gracilibacteria	1	6	28	0	1	130	58	3	5	0	1	14	40	1	6	25	10	3	6	7	1	203	18	4	120	9	3	83	0	1	77	4	2	12	8	2	2	1	0	115	32	10	33	5	3	49	66	1	0	3	19	63	2	1	62
Candidatus Microgenomates	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Candidatus Curtissbacteria	0	3	9	0	1	6	16	69	5	2	0	7	1	2	1	3	6	3	3	18	15	1	32	1	5	1	2	9	0	4	3	3	16	10	1	4	5	4	2	7	42	7	15	5	6	4	3	0	2	3	10	12	4	1	5
Candidatus Daviesbacteria	0	3	13	0	1	16	7	8	3	25	0	9	2	2	8	4	8	18	3	2	9	12	54	1	7	3	6	73	5	1	41	6	5	6	9	0	4	9	2	12	17	9	29	4	6	33	8	11	5	9	13	18	2	1	8
Candidatus Levybacteria	14	5	30	19	4	27	58	94	9	9	8	32	25	3	21	4	37	14	6	15	19	11	69	17	71	39	16	24	19	1	23	123	27	28	18	7	91	10	65	30	19	26	48	15	22	22	3	13	2	21	61	42	18	12	20
Candidatus Gottesmanbacteria	15	11	23	2	2	6	25	22	3	4	1	12	10	9	10	4	12	4	3	15	9	2	20	4	8	7	7	8	5	0	64	13	13	11	5	2	9	2	29	103	15	20	59	11	4	4	2	8	10	4	18	18	16	40	36
Candidatus Shapirobacteria	6	5	6	2	3	20	11	12	5	8	1	8	6	3	1	3	9	4	5	4	5	1	23	0	12	4	18	4	3	1	1	7	3	9	3	2	4	3	5	3	39	14	13	8	1	2	1	7	7	3	3	17	1	3	1
Candidatus Woesebacteria	3	3	36	7	4	26	35	21	38	7	2	24	43	13	19	5	18	26	7	18	16	2	20	2	30	9	23	18	86	5	50	16	16	33	19	7	40	12	8	24	16	28	19	34	6	21	16	8	7	9	34	22	5	10	14
Candidatus Roizmanbacteria	46	13	113	1	2	101	16	45	2	10	3	15	3	15	14	12	49	11	5	7	42	1	18	182	29	22	7	95	4	3	36	21	6	11	9	3	14	7	13	46	35	10	24	24	7	75	4	25	5	2	20	87	4	9	18
Candidatus Pacebacteria	8	5	31	5	1	15	25	8	7	95	5	13	8	11	233	1	37	20	27	5	8	3	15	1	141	17	51	31	13	3	67	19	37	84	11	10	38	10	98	23	12	13	32	12	5	41	14	5	5	1	8	22	17	4	7
Candidatus Collierbacteria	1	0	9	8	2	6	4	39	3	3	0	5	0	1	6	2	9	7	2	2	2	1	14	13	2	2	6	6	3	1	12	8	39	3	3	6	15	0	1	12	27	11	14	1	2	7	2	8	0	1	6	5	4	2	8
Candidatus Beckwithbacteria	1	3	4	3	0	9	2	4	1	1	0	9	22	1	3	3	1	31	5	1	0	30	12	4	21	3	4	40	3	1	4	6	1	3	15	0	13	1	2	22	4	4	8	3	2	4	0	0	0	0	16	11	2	2	29
Candidatus Amesbacteria	1	2	1	0	0	8	4	19	1	1	0	0	0	0	0	1	1	1	2	5	3	2	4	2	7	0	1	1	2	0	1	2	1	1	0	3	2	2	0	0	6	5	5	1	0	0	1	1	0	2	1	4	0	0	1
Candidatus Blackburnbacteria	1	0	1	0	2	3	11	2	0	0	0	9	0	0	0	2	4	0	1	2	2	0	6	0	1	0	0	7	2	0	1	4	53	1	0	2	0	0	1	33	1	13	3	0	0	0	1	0	0	0	0	1	19	0	39
Candidatus Woykebacteria	2	0	1	1	0	1	3	3	1	2	1	1	2	2	0	2	1	3	1	1	3	1	9	0	6	0	1	1	0	3	1	1	0	2	0	0	10	2	0	0	0	1	7	3	0	0	0	3	1	28	1	5	2	2	0
Candidatus Chisholmbacteria	0	1	1	1	0	11	0	1	1	34	0	3	0	0	0	10	8	0	13	3	0	0	6	0	0	0	0	47	1	0	1	2	6	1	0	0	1	0	24	6	1	0	34	0	3	0	1	0	3	0	2	2	0	0	1
Candidatus Parcubacteria	5	12	5	1	0	20	17	4	35	5	0	12	5	1	1	1	5	7	3	21	4	0	5	123	38	3	6	0	0	0	2	7	9	1	5	1	3	5	0	11	30	7	11	5	0	1	0	3	1	2	14	4	44	5	18
Candidatus Campbellbacteria	2	9	4	0	1	5	2	9	0	6	0	2	11	16	0	3	0	1	4	0	0	77	4	0	5	1	3	1	0	0	10	2	2	6	19	4	12	0	5	40	2	9	2	12	0	5	3	1	3	3	17	9	2	10	12
Candidatus Falkowbacteria	5	17	41	2	8	63	21	13	7	21	4	57	8	22	26	5	96	16	7	19	18	3	64	4	49	98	14	44	6	1	7	69	20	19	20	3	13	16	10	9	26	41	67	14	7	13	17	31	4	6	25	33	2	6	15
Candidatus Nomurabacteria	7	4	14	3	4	28	29	23	7	11	2	43	12	13	22	5	23	18	10	16	15	0	70	9	25	185	29	16	12	9	20	11	20	45	17	7	28	12	46	22	15	25	56	18	11	7	6	10	7	4	51	36	11	6	21
Candidatus Magasanikbacteria	4	6	39	31	45	19	85	71	8	53	7	34	18	23	15	8	29	80	17	12	29	12	129	4	37	41	20	77	22	5	11	22	71	31	32	10	42	8	28	30	22	28	42	27	18	28	40	38	12	14	40	42	16	24	16
Candidatus Uhrbacteria	9	8	24	71	10	26	74	45	7	17	4	50	34	12	6	12	15	32	12	24	17	4	51	3	40	15	22	40	9	4	19	31	18	10	9	5	30	12	60	78	80	48	58	57	13	12	58	23	7	9	34	41	3	14	33
Candidatus Yanofskybacteria	5	8	16	1	0	13	38	14	3	23	2	27	17	2	5	4	18	2	49	5	8	3	10	3	8	4	10	22	4	1	7	5	23	16	3	3	10	7	18	22	26	15	24	12	0	4	5	6	5	6	36	19	8	5	9
Candidatus Kaiserbacteria	1	5	9	2	8	71	18	18	5	60	6	34	11	1	9	0	16	25	20	6	76	167	36	0	60	8	7	7	125	5	64	86	16	27	5	7	9	7	24	24	18	52	33	19	4	30	10	86	2	10	14	42	5	12	17
Candidatus Wolfebacteria	1	1	10	1	1	17	13	13	2	27	4	6	12	2	1	1	9	71	2	5	39	4	31	3	51	6	12	4	6	3	14	14	85	107	6	2	4	5	192	2	32	14	29	8	3	19	27	10	11	2	13	14	1	4	4
Candidatus Adlerbacteria	0	0	1	0	0	3	4	4	0	0	0	5	0	0	0	0	10	2	7	0	1	1	6	0	1	1	1	0	1	0	1	2	0	1	0	0	1	0	0	0	5	4	99	3	1	0	3	2	0	0	5	1	0	1	1
Candidatus Moranbacteria	7	20	34	7	8	96	39	28	30	86	23	131	144	39	19	17	92	25	44	22	27	7	106	14	97	46	26	50	93	7	45	13	37	51	10	18	46	11	9	9	119	36	81	70	11	90	38	148	18	3	64	70	16	19	40
Candidatus Giovannonibacteria	5	8	23	4	0	8	33	55	23	0	0	23	1	14	3	8	22	5	3	17	10	0	8	4	75	7	8	16	1	1	1	16	6	9	0	9	9	7	6	23	13	7	23	8	17	1	4	15	0	2	8	18	0	5	2
Candidatus Jorgensenbacteria	0	0	3	1	0	9	11	0	0	0	0	4	5	0	0	0	8	8	0	3	0	0	7	1	1	2	4	0	0	0	1	0	19	0	0	0	0	0	0	3	3	1	17	1	3	1	0	2	1	1	7	7	1	0	2
Candidatus Kuenenbacteria	2	7	8	1	27	22	7	6	8	2	0	1	3	0	0	10	65	5	2	2	3	3	5	2	3	3	1	25	4	0	3	5	19	10	4	5	3	2	3	4	2	24	8	3	4	33	0	4	1	0	1	2	3	7	1
Candidatus Azambacteria	1	0	8	0	0	5	6	11	1	1	1	3	1	3	1	0	5	4	7	6	3	0	12	6	20	0	1	0	3	0	0	2	1	4	1	3	4	2	1	1	10	19	8	3	14	0	7	1	0	0	1	13	7	7	1
Candidatus Andersenbacteria	0	5	16	2	0	3	14	4	0	1	1	7	2	0	1	1	8	2	1	1	10	0	3	0	11	2	2	2	1	0	1	9	3	1	1	0	1	6	0	0	5	4	5	4	0	5	4	5	25	1	8	6	0	1	0
Candidatus Brennerbacteria	0	1	1	0	0	4	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0
Candidatus Buchananbacteria	3	4	9	1	1	3	18	6	9	5	0	15	2	2	2	2	9	6	4	2	6	0	12	0	29	6	10	9	5	1	1	3	22	28	4	1	2	2	2	6	12	27	23	18	3	1	17	4	1	1	6	9	58	9	0
Candidatus Colwellbacteria	0	0	4	0	0	1	2	0	1	1	0	2	0	0	0	0	2	0	0	0	1	1	9	0	1	0	0	0	0	0	1	0	0	1	11	2	4	0	1	0	4	4	1	3	0	0	1	1	0	0	0	16	1	17	0
Candidatus Harrisonbacteria	0	2	8	0	0	4	1	9	1	1	1	4	7	4	4	3	5	24	5	3	5	93	4	1	1	1	6	7	1	1	2	5	0	0	1	3	4	0	2	12	9	1	10	6	1	0	0	0	1	2	0	10	2	3	20
Candidatus Jacksonbacteria	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	1	0	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	28	3	0	1	1	3	0	0	0
Candidatus Kerfeldbacteria	0	4	3	0	0	0	62	7	2	4	3	5	2	3	1	0	2	6	10	4	0	5	19	0	1	1	1	21	0	1	0	14	14	25	8	1	2	1	17	1	3	7	13	4	2	6	1	6	1	1	3	3	1	1	4
Candidatus Komeilibacteria	3	3	10	0	0	4	9	13	1	18	0	13	9	10	2	5	12	10	12	12	7	2	5	0	12	3	2	5	3	1	2	2	4	1	4	1	5	2	20	30	6	21	6	6	4	2	59	4	0	1	27	3	0	0	4
Candidatus Liptonbacteria	2	1	9	0	1	6	8	4	0	4	0	14	7	5	4	0	3	6	2	2	1	1	2	1	23	2	10	1	4	1	2	2	2	1	0	0	1	5	37	6	2	12	6	8	2	3	7	9	0	1	8	0	1	0	4
Candidatus Lloydbacteria	0	3	5	3	0	6	2	4	10	13	1	5	1	0	1	0	11	5	6	1	4	16	19	0	20	5	2	8	3	31	0	3	3	2	0	0	3	3	1	0	5	6	12	4	1	5	8	0	8	0	3	2	2	1	15
Candidatus Nealsonbacteria	3	4	22	1	2	20	16	18	2	10	1	22	13	6	3	4	39	10	4	5	138	3	136	2	16	14	6	8	7	1	10	5	15	22	1	3	13	10	26	3	19	27	24	13	10	2	1	5	6	11	41	35	3	5	6
Candidatus Niyogibacteria	0	1	0	0	0	0	6	3	0	0	0	2	1	0	4	0	1	3	2	2	1	0	1	0	0	0	2	0	2	0	0	0	12	9	0	1	3	0	0	17	1	1	1	3	0	0	0	0	0	0	0	2	0	0	3
Candidatus Portnoybacteria	4	53	10	0	0	4	23	5	2	7	0	9	4	0	2	0	18	70	63	5	57	3	8	4	6	38	95	2	4	3	30	3	20	2	25	4	142	5	0	9	252	35	14	10	11	3	1	5	10	3	86	92	139	97	9
Candidatus Ryanbacteria	0	0	8	0	0	0	4	7	2	7	1	3	1	1	0	1	5	1	0	0	0	0	1	0	63	1	0	34	0	0	0	1	15	1	2	2	1	0	0	6	2	0	5	2	3	1	0	4	0	1	2	3	16	1	1
Candidatus Spechtbacteria	5	0	1	0	2	0	0	2	1	2	20	4	1	2	0	0	0	0	2	3	1	0	2	5	3	6	2	0	1	0	0	1	0	1	1	0	1	2	0	11	0	2	13	2	1	0	4	1	0	2	2	5	0	1	6
Candidatus Staskawiczbacteria	0	0	11	3	13	6	54	2	4	12	0	21	0	5	0	1	8	1	2	1	5	0	18	3	2	1	1	22	2	0	2	8	82	1	4	1	13	4	1	21	23	19	17	5	2	16	3	0	1	2	12	7	6	1	21
Candidatus Sungbacteria	0	3	31	2	0	7	34	8	1	11	0	11	0	4	1	18	13	3	6	7	5	0	6	5	3	2	7	9	7	1	3	6	12	3	2	1	5	3	36	0	18	8	19	9	0	0	1	3	4	3	3	12	3	6	7
Candidatus Tagabacteria	1	0	0	0	0	0	6	0	1	2	0	1	0	0	2	0	2	0	0	2	1	0	2	0	0	1	0	15	1	0	0	0	5	0	0	1	0	2	0	0	2	0	0	0	0	0	0	1	0	5	0	1	0	1	0
Candidatus Taylorbacteria	3	10	96	0	0	3	13	1	0	5	0	26	0	0	0	59	1	8	14	6	8	0	6	0	1	56	0	46	4	0	31	4	55	3	5	6	61	1	1	23	7	8	12	9	6	19	2	1	1	1	9	16	5	8	5
Candidatus Terrybacteria	0	1	2	1	0	0	4	2	0	0	1	13	0	1	1	0	2	1	5	1	1	1	5	0	1	2	0	0	0	1	2	4	1	3	1	0	4	1	0	1	6	7	11	1	1	0	0	3	0	0	10	7	0	0	3
Candidatus Veblenbacteria	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Candidatus Vogelbacteria	0	1	1	0	0	14	0	2	1	5	0	3	1	4	0	1	1	6	0	0	0	26	20	0	6	3	0	1	2	0	5	5	1	7	0	2	1	2	62	12	2	117	4	1	0	1	3	3	0	0	2	9	0	0	17
Candidatus Wildermuthbacteria	2	3	9	0	0	21	7	34	2	3	0	10	0	0	0	7	5	3	1	2	177	0	4	1	6	3	5	48	2	1	5	0	19	9	0	3	1	0	1	7	8	6	10	1	1	17	2	4	0	3	11	2	0	0	8
Candidatus Yonathbacteria	0	0	3	0	0	20	1	5	1	1	0	3	0	0	0	1	5	3	1	3	0	0	2	0	0	0	0	21	2	0	6	0	1	1	0	1	2	0	0	1	4	0	6	1	0	25	0	0	0	0	2	3	0	1	4
Candidatus Zambryskibacteria	3	6	32	4	0	20	14	5	59	10	0	9	8	1	4	11	45	5	6	7	6	2	9	6	8	1	14	131	1	0	0	7	5	14	3	6	47	1	3	17	38	8	19	10	4	5	2	24	1	2	30	8	1	2	5
Euryarchaeota	710	625	2845	459	253	1789	90702	4484	853	1237	328	90026	1300	637	867	522	139508	1224	1671	1014	2432	1907	17783	448	1515	933	1301	2219	920	403	1397	1454	1751	1816	610	708	1823	419	1408	1613	2766	2148	14209	1605	1783	1508	1425	1451	306	506	2098	10769	979	861	1108
Crenarchaeota	12	18	147	14	4	91	109	41	22	38	2	91	79	42	24	9	102	45	53	35	92	9	128	13	44	74	28	24	24	6	43	62	42	70	36	19	47	9	17	43	88	61	124	92	69	75	41	56	4	14	117	77	20	21	40
Candidatus Korarchaeota	0	0	2	0	0	6	1	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	2	4	0	2	0	1	0	0	0	1	0	4	0	0	0	0
Thaumarchaeota	22	52	79	15	8	151	146	106	19	130	3	111	77	76	141	46	55	87	14	47	20	13	211	4	105	24	42	130	13	15	151	41	178	40	47	17	20	39	99	225	56	175	104	69	33	69	126	169	14	18	85	118	22	17	107
Candidatus Bathyarchaeota	20	21	117	7	3	48	59	30	21	92	7	117	74	8	37	64	69	64	29	38	97	10	101	7	79	29	83	120	44	6	87	45	62	58	14	7	30	19	124	71	87	121	87	131	11	24	197	70	8	3	132	56	39	11	39
Candidatus Verstraetearchaeota	0	1	7	0	0	3	5	5	0	0	0	15	0	0	0	1	4	3	14	4	2	0	1	0	1	0	2	0	1	1	0	0	4	0	0	0	5	0	1	114	15	6	4	1	3	0	0	1	0	0	0	2	1	3	37
Candidatus Geothermarchaeota	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Nanoarchaeota	0	1	1	1	0	0	1	0	0	1	0	3	0	1	0	0	0	1	0	0	0	0	2	0	3	0	2	0	0	2	0	3	0	0	0	10	0	0	13	1	0	23	9	0	1	0	0	0	1	0	0	1	0	2	0
Candidatus Aenigmarchaeota	0	6	1	0	0	11	8	0	2	0	0	3	17	1	1	1	4	6	5	3	0	23	14	1	8	2	12	2	2	9	11	5	3	2	1	2	3	0	0	73	34	1	9	17	3	14	0	1	0	3	7	32	3	6	43
Candidatus Diapherotrites	2	3	1	0	0	12	10	5	1	6	1	10	1	7	1	1	2	10	0	0	0	0	2	1	1	0	1	6	0	0	0	15	0	7	0	1	2	1	0	1	0	14	3	3	7	6	0	9	1	0	2	3	0	1	0
Candidatus Parvarchaeota	0	1	0	0	5	1	1	0	1	0	0	0	17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	1	0	0	0	1	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0
Candidatus Woesearchaeota	1	3	13	4	2	8	33	7	2	6	5	21	9	10	0	0	18	16	3	8	10	5	11	7	18	18	2	3	2	5	43	10	16	7	2	4	21	9	19	6	16	18	21	6	4	6	14	16	3	0	44	14	3	1	7
Candidatus Micrarchaeota	6	1	23	0	0	5	9	10	7	15	3	6	4	0	8	2	11	10	8	0	5	45	13	0	26	1	5	10	3	9	3	5	1	30	0	1	3	3	0	6	11	9	13	6	4	12	13	0	1	2	4	10	3	2	5
Candidatus Altiarchaeota	1	3	76	2	3	3	9	6	1	0	0	12	8	0	6	1	45	5	4	7	2	0	21	7	6	5	6	1	2	0	5	10	18	18	5	4	33	9	0	0	8	13	34	4	10	0	27	11	0	0	11	8	9	3	40
Candidatus Huberarchaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Lokiarchaeota	9	11	6	5	3	37	24	19	7	40	3	14	10	10	9	6	26	46	3	3	24	8	29	8	43	5	10	66	4	3	30	11	41	5	12	4	5	13	11	6	20	9	30	13	2	66	17	15	7	9	29	25	48	20	16
Candidatus Thorarchaeota	5	3	4	0	1	9	4	2	0	2	0	6	6	0	1	1	41	1	4	4	88	2	7	0	30	1	19	19	1	0	0	6	1	17	0	0	2	2	33	1	3	3	7	7	2	1	3	3	0	4	16	3	1	8	3
Candidatus Heimdallarchaeota	4	3	7	0	0	8	10	2	2	4	0	18	8	0	0	0	0	8	0	1	6	2	7	1	4	0	1	3	2	1	1	5	13	1	3	1	0	5	1	56	1	0	15	2	0	1	0	1	0	12	20	21	8	0	64
Candidatus Helarchaeota	1	0	0	0	0	0	1	0	0	1	0	4	1	0	0	1	1	1	0	0	0	0	2	0	12	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	2	1	0	0	6	0	3	0	0	0	0	2	2	0	0
