ERR2840913	ERR2840898	ERR2840915	ERR2840901	ERR2840908	ERR2840936	ERR2840926	ERR2840892	ERR2840903	ERR2840906	ERR2840893	ERR2840925	ERR2840934	ERR2840910	ERR2840940	ERR2840924	ERR2840894	ERR2840937	ERR2840897	ERR2840914	ERR2840890	ERR2840928	ERR2840922	ERR2840911	ERR2840929	ERR2840912	ERR2840888	ERR2840923	ERR2840916	ERR2840909	ERR2840939	ERR2840895	ERR2840917	ERR2840938	ERR2840896	ERR2840889	ERR2840900	ERR2840904	ERR2840941	ERR2840919	ERR2840902	ERR2840942	ERR2840921	ERR2840935	ERR2840899	ERR2840932	ERR2840930	ERR2840933	ERR2840905	ERR2840891	ERR2840927	ERR2840931	ERR2840918	ERR2840907	ERR2840920
Spirochaetes	351	468	2168	314	265	40764	1920	1607	688	1150	162	2388	1220	453	934	438	1880	1640	895	774	991	582	68992	348	2362	1375	927	14890	644	183	1137	1461	1823	10838	675	621	1265	477	11630	1713	1827	2014	90247	1026	763	1169	846	1139	243	863	2203	3146	683	689	1120
Synergistetes	56	173	3071	47	34	141	4750	177	44	159	34	10870	147	30	183	57	420	146	1379	159	559	48	500	20	212	117	9269	104	93	76	156	243	441	474	1470	58	261	43	185	124	460	237	1970	188	125	57	314	106	1366	44	2456	191	135	160	163
Calditrichaeota	8	34	60	2	2	7	18	17	6	18	0	41	3	10	10	5	22	7	23	7	11	0	28	3	17	7	6	2	3	3	3	8	12	8	9	5	4	4	4	7	21	5	37	20	5	14	16	12	1	3	30	34	2	6	8
Coprothermobacterota	0	0	0	0	0	5	0	2	0	0	0	1	0	0	0	2	4	0	1	0	0	0	2	0	2	0	1	15	0	0	0	0	1	0	1	0	0	0	0	0	5	3	2	1	0	5	0	0	0	0	4	2	0	0	1
Candidatus Omnitrophica	35	65	162	35	54	149	172	164	35	98	5	276	69	50	144	44	183	115	112	88	81	21	157	22	167	180	99	184	111	29	83	121	82	132	65	69	87	66	112	102	279	201	296	112	79	109	103	123	27	49	207	180	42	83	82
Verrucomicrobia	1850	19693	243311	2909	15424	1301	2190	120456	38933	1850	45145	386899	19272	609	938	492	7861	1392	306921	14177	2205	694	1978	174	1670	12364	312326	1316	95082	32463	1330	186525	1194	1440	4106	20295	15105	6642	1604	1196	133387	52087	85772	920	5366	939	2014	1968	9746	1471	31991	4492	177680	6521	1185
Kiritimatiellaeota	0	8	10	1	1	5	9	19	1	13	0	15	1	0	1	2	0	6	8	5	3	1	2	0	1	1	16	0	3	0	1	17	13	1	2	2	9	1	18	4	13	33	47	2	1	3	1	0	0	5	5	2	13	1	4
Planctomycetes	278	353	1357	418	80	1008	1137	716	216	896	92	1986	792	167	427	435	1697	787	1186	620	973	211	1015	102	768	546	852	742	568	162	319	921	835	836	262	242	996	221	1191	833	2043	1622	3219	894	459	508	679	711	197	193	1418	1125	757	802	565
Chlamydiae	32	38	360	114	19	470	969	84	98	538	29	243	131	62	504	563	190	106	69	145	214	429	1262	39	986	202	260	721	34	45	287	56	818	285	41	230	239	42	639	1110	2742	316	333	236	65	1895	143	922	51	264	226	236	198	45	2473
Lentisphaerae	32	138	3357	37	27	825	310	172	43	133	23	15885	3054	81	71	127	1600	1078	623	226	261	49	611	12	238	2956	146	278	8149	33	2715	50994	284	12628	52	1151	249	44	153	139	446	1959	75879	15388	144	347	125	175	93	66	493	7244	57	113	160
Candidatus Marinimicrobia	23	26	57	42	13	144	61	100	26	79	12	51	13	11	34	34	89	57	80	36	7	22	98	16	63	13	18	135	27	5	60	67	153	28	35	15	39	16	54	38	52	51	105	27	17	35	22	35	45	19	59	116	26	14	12
Fibrobacteres	141	96	365	62	19	504	229	185	72	402	42	439	212	48	92	255	358	331	188	211	307	375	516	18	533	135	152	663	99	40	393	206	204	417	57	70	268	51	483	362	483	435	568	263	145	338	345	507	57	87	346	466	89	236	257
Candidatus Latescibacteria	12	13	72	5	0	30	56	20	37	35	4	54	34	7	22	37	70	51	49	30	118	6	69	159	123	20	50	122	18	22	74	32	162	19	23	23	72	16	79	85	115	46	112	63	20	12	117	23	18	4	68	39	18	45	37
Gemmatimonadetes (142182)	131	152	666	81	37	315	440	257	100	403	39	749	311	25	136	91	655	334	594	330	339	222	402	25	357	151	415	233	262	53	242	414	239	212	98	133	438	69	444	226	749	626	1243	420	161	166	278	191	87	56	404	392	256	262	209
Candidatus Hydrogenedentes	8	5	28	5	0	6	116	7	6	24	1	35	11	0	1	0	26	5	29	20	22	2	26	0	45	22	18	6	13	0	15	5	10	7	3	3	24	6	0	5	28	46	127	12	4	5	5	2	1	4	37	18	5	8	7
Candidatus Cloacimonetes	8	45	125	5	3	104	42	40	14	105	10	37	43	11	41	22	89	40	44	19	346	19	83	8	131	23	67	181	24	16	25	34	38	27	25	9	89	8	113	110	49	50	85	33	15	78	68	57	19	57	72	147	20	44	41
candidate division Zixibacteria	6	5	48	6	50	42	66	36	11	30	0	139	55	6	10	9	80	28	48	34	50	189	63	9	88	9	36	11	17	4	32	24	85	32	12	14	41	46	16	37	85	70	88	41	25	9	9	57	12	14	36	70	24	20	23
Candidatus Fermentibacteria	4	3	6	1	0	20	1	1	0	3	0	3	0	0	1	2	57	2	5	9	7	3	1	0	1	2	6	0	1	1	0	0	2	0	17	0	14	0	2	0	40	3	10	0	1	2	0	2	4	0	10	4	18	20	1
Candidatus Kryptonia	0	4	6	12	1	13	45	6	21	33	2	29	7	6	5	0	11	5	2	5	1	2	29	2	9	7	19	4	10	0	3	2	20	20	3	4	3	3	34	3	3	20	6	9	2	6	2	35	2	0	9	13	2	6	2
Firmicutes	5289753	4121063	7697944	11072970	5496469	3327460	6519074	7150134	8288033	4653843	5815883	5012553	3486829	4189152	5385622	1314356	6578200	4721632	5281647	7999091	8823827	3519782	4409624	6750275	4867588	9928311	6236409	2518446	4149405	3930491	3606511	10099408	12223760	3869779	3852235	3921491	13191313	5306207	4068049	2817997	7473407	8733293	3577370	5078963	8969300	2015769	5407357	7227033	3734811	6442060	7681888	5188419	5358590	6295254	4218532
Deinococcus-Thermus	88	129	497	119	11	161	323	160	51	187	19	631	210	18	72	106	525	231	518	205	274	97	242	11	181	125	283	203	164	43	114	251	256	115	53	107	431	55	119	99	663	456	871	269	175	124	288	201	48	55	403	319	198	251	103
Armatimonadetes	45	83	275	29	11	78	181	91	27	105	22	406	113	11	51	45	316	147	214	142	192	26	158	27	121	58	132	111	91	25	141	161	195	102	86	201	248	36	197	110	345	217	623	133	75	38	126	115	46	47	267	161	73	120	68
Chloroflexi	564	734	3360	549	160	1303	2252	1569	534	1580	390	3964	992	291	652	634	3318	1221	2536	1399	1481	700	1920	159	1235	835	1532	1565	1251	292	967	1830	1678	916	412	639	2355	424	1272	1327	3836	2669	4681	1489	833	712	799	1131	328	414	3203	1988	940	1387	1032
Actinobacteria (201174)	45276	453861	383886	111664	162304	113451	1606894	30962	262994	533510	664588	607684	55297	38587	80168	107436	73994	101370	513726	57092	504206	32011	87439	180678	74604	86943	400035	276208	398973	892160	54052	160658	829067	50278	156602	115326	1475320	179545	118777	234262	681553	162345	509123	91617	274918	93167	117936	124264	874377	381684	180264	161563	595972	316385	439081
Tenericutes	116	135	224	159	39	371	692	401	177	157	61	1537	191	220	204	80	265	1201	90	561	244	118	6836	131	360	247	175	330	235	50	336	216	1301	2899	197	160	225	140	128	348	3045	1914	5226	370	124	364	163	437	67	580	821	5674	254	121	406
Candidatus Eremiobacteraeota	24	31	157	20	2	30	107	73	14	43	8	176	42	2	22	32	123	74	89	72	70	16	58	4	62	20	85	73	59	9	33	93	24	106	16	35	100	11	34	15	108	127	364	63	46	24	149	78	22	12	100	84	38	77	20
Candidatus Dormibacteraeota	38	39	139	39	0	38	101	49	35	40	3	160	35	6	12	8	163	69	135	48	56	14	64	13	57	33	171	38	52	15	27	61	54	24	13	27	99	16	38	29	318	88	272	66	47	21	72	43	20	7	99	61	62	100	23
