ERR2840913	ERR2840898	ERR2840915	ERR2840901	ERR2840908	ERR2840936	ERR2840926	ERR2840892	ERR2840903	ERR2840906	ERR2840893	ERR2840925	ERR2840934	ERR2840910	ERR2840940	ERR2840924	ERR2840894	ERR2840937	ERR2840897	ERR2840914	ERR2840890	ERR2840928	ERR2840922	ERR2840911	ERR2840929	ERR2840912	ERR2840888	ERR2840923	ERR2840916	ERR2840909	ERR2840939	ERR2840895	ERR2840917	ERR2840938	ERR2840896	ERR2840889	ERR2840900	ERR2840904	ERR2840941	ERR2840919	ERR2840902	ERR2840942	ERR2840921	ERR2840935	ERR2840899	ERR2840932	ERR2840930	ERR2840933	ERR2840905	ERR2840891	ERR2840927	ERR2840931	ERR2840918	ERR2840907	ERR2840920
Orbiliomycetes	79	75	191	24	3	219	162	74	35	88	8	145	110	57	166	81	107	107	62	128	158	160	180	125	284	81	62	212	136	19	308	110	165	174	44	41	65	41	171	157	129	206	153	190	49	97	117	105	54	34	155	254	51	68	103
Eurotiomycetes	494	686	2140	926	473	3235	2428	1270	576	1957	301	2528	1639	657	1542	801	2104	1823	1214	1137	2652	2652	2687	373	3077	1220	1213	2549	845	276	2426	1567	2075	1936	631	665	1563	606	3556	2712	5958	3065	2933	2189	980	1912	1848	1568	807	1423	2164	3354	968	707	1590
Lecanoromycetes	29	59	114	79	65	153	176	94	62	99	6	202	86	106	107	43	105	116	142	49	56	124	204	19	144	171	55	77	40	12	123	92	129	112	88	24	112	20	254	401	94	162	223	172	58	58	90	111	22	48	239	220	33	58	236
Geoglossomycetes	377	567	2008	373	153	1610	1479	1035	383	1266	145	2386	1025	203	471	541	2165	1344	1682	1075	1409	1220	1432	280	1766	682	1175	1752	620	286	1006	1490	1221	902	267	424	1667	323	1512	1299	2129	3666	4002	1794	624	1488	1000	966	296	472	1583	1614	822	889	851
Xylonomycetes	3	18	39	10	5	9	3	6	5	24	3	8	4	2	3	1	14	10	17	5	6	3	19	3	7	5	13	5	1	4	6	8	12	10	8	15	24	6	5	3	10	28	14	6	9	5	7	3	11	2	8	10	6	4	28
Arthoniomycetes	3	2	7	10	1	114	40	8	2	12	0	32	6	3	0	5	7	13	4	3	7	66	23	1	92	1	18	48	3	0	116	4	1	42	8	6	23	3	5	33	9	19	8	3	3	55	8	2	0	1	13	146	0	1	21
Dothideomycetes	574	681	2343	1331	173	3121	2209	1316	626	2092	265	3144	1616	483	1182	898	2479	1836	1395	2203	3386	1633	2749	322	2962	1197	1400	3020	807	384	2165	1737	2776	2266	688	498	1782	567	3497	2675	2377	3288	3494	2333	814	1935	2366	1635	348	591	2429	2911	1522	939	1672
Leotiomycetes	542	417	1271	314	232	2451	1406	774	714	1166	177	1381	1259	428	1285	845	1251	1161	462	675	1736	1876	1583	302	1806	856	367	2342	427	174	1806	908	1324	1428	636	299	694	362	2615	1857	1016	2025	1548	1291	536	1765	1752	888	571	342	1416	2302	529	317	1017
Sordariomycetes	2492	3287	9851	5228	1105	10695	10824	6108	3152	8343	1022	15270	7256	2194	5859	3613	11419	8632	8465	6138	12334	7928	10113	1393	10875	4938	6475	10785	3896	1723	9760	6792	9772	9261	2737	3771	9190	2316	11397	9077	12589	18039	20091	9789	4145	8489	9132	6947	2080	3499	10367	12999	5793	4528	5911
Laboulbeniomycetes	0	1	7	54	0	23	6	10	2	5	0	15	3	1	3	4	7	4	2	57	7	0	8	1	1	2	3	65	4	4	2	0	10	1	0	0	0	0	1	13	3	3	2	2	3	38	0	2	1	2	0	2	3	0	4
