ERR2840913	ERR2840898	ERR2840915	ERR2840901	ERR2840908	ERR2840936	ERR2840926	ERR2840892	ERR2840903	ERR2840906	ERR2840893	ERR2840925	ERR2840934	ERR2840910	ERR2840940	ERR2840924	ERR2840894	ERR2840937	ERR2840897	ERR2840914	ERR2840890	ERR2840928	ERR2840922	ERR2840911	ERR2840929	ERR2840912	ERR2840888	ERR2840923	ERR2840916	ERR2840909	ERR2840939	ERR2840895	ERR2840917	ERR2840938	ERR2840896	ERR2840889	ERR2840900	ERR2840904	ERR2840941	ERR2840919	ERR2840902	ERR2840942	ERR2840921	ERR2840935	ERR2840899	ERR2840932	ERR2840930	ERR2840933	ERR2840905	ERR2840891	ERR2840927	ERR2840931	ERR2840918	ERR2840907	ERR2840920
Erysipelotrichia	261585	76348	76533	86246	82804	102141	427750	51353	229795	41898	33832	203736	80858	69603	168030	27765	181947	74404	26949	121614	19535	110923	247658	47853	108762	70351	121871	248456	67464	18631	111979	75026	817657	141999	44697	119063	119039	110781	212343	315742	185949	221273	58235	155009	48380	83654	99270	389298	17603	441472	98892	208776	265802	28627	347713
Negativicutes	124141	116944	93389	766717	158404	49008	890682	90910	76840	137076	148856	203418	65999	33235	170540	428608	10787	54466	17624	58490	680650	138839	125509	138110	171017	97088	85477	363090	261290	155833	52004	193985	8781	142429	157289	31618	116617	74765	70976	169671	48490	74916	128062	126226	185536	121534	488572	31146	430716	181632	234804	104436	294010	37363	53944
Limnochordia	7	15	37	6	1	9	25	11	3	11	2	30	5	5	8	4	26	35	17	11	9	5	21	0	14	4	25	2	11	3	23	13	8	7	4	4	27	1	16	5	37	47	35	28	9	3	3	18	4	2	35	23	11	11	9
Tissierellia	284	610	648	371	189	414	1223	1147	1098	307	436	669	287	512	688	324	943	298	269	318	322	211	2246	253	522	374	307	712	181	428	183	387	1126	407	1335	197	615	324	238	695	707	422	653	609	311	504	358	834	156	376	1113	1063	571	349	844
Deinococci	88	129	497	119	11	161	323	160	51	187	19	631	210	18	72	106	525	231	518	205	274	97	242	11	181	125	283	203	164	43	114	251	256	115	53	107	431	55	119	99	663	456	871	269	175	124	288	201	48	55	403	319	198	251	103
Chthonomonadetes	1	11	4	5	2	8	16	4	4	6	1	14	19	0	4	4	40	30	21	14	32	2	10	0	15	8	19	13	9	1	28	19	64	23	8	8	11	1	13	8	28	8	87	9	6	3	34	16	5	5	21	13	14	3	11
Chloroflexia	17	45	184	14	17	64	91	66	37	71	12	158	46	16	36	16	134	44	116	50	49	18	85	14	69	33	48	98	39	10	78	118	60	55	19	34	109	17	82	34	136	120	184	130	47	14	26	57	17	31	113	70	36	60	30
Thermomicrobia	5	8	20	0	0	5	30	13	3	15	2	24	18	1	1	7	18	7	15	8	13	3	12	1	33	10	7	7	2	1	7	7	27	3	2	3	12	1	66	57	11	14	57	13	8	1	4	7	1	2	16	20	7	4	14
Anaerolineae	183	202	1046	61	39	297	533	475	154	431	57	851	246	61	152	128	955	331	545	426	478	108	529	50	239	315	373	309	486	78	202	464	384	181	101	173	570	135	191	222	952	571	990	360	227	160	194	357	66	163	610	503	203	384	233
Dehalococcoidia	72	97	329	35	20	118	258	159	66	141	79	458	150	43	80	102	433	151	257	204	139	77	247	12	198	94	161	352	109	32	103	244	181	125	61	79	292	39	128	186	383	283	523	140	88	144	120	135	32	52	306	249	120	135	131
Ktedonobacteria	14	18	80	21	5	69	43	49	9	65	21	56	7	9	16	20	62	37	56	30	44	7	55	18	65	19	25	51	18	8	49	65	38	24	20	12	74	8	53	5	46	57	62	60	28	21	71	49	8	9	42	38	10	41	17
Caldilineae	8	4	45	4	1	39	45	20	6	6	11	79	19	3	99	12	77	11	108	26	15	108	30	1	13	7	13	32	15	21	13	29	12	5	6	22	83	4	187	41	31	156	90	34	21	9	14	6	8	4	58	30	7	32	16
Ardenticatenia	0	1	11	0	0	2	3	7	0	0	1	9	3	0	2	0	6	1	8	5	17	2	7	0	2	3	1	7	6	0	12	3	3	2	6	1	7	3	1	0	15	6	13	4	2	10	0	2	0	1	10	8	0	1	0
Thermoflexia	4	2	9	2	0	3	13	3	0	3	0	5	4	1	1	1	19	5	14	5	7	1	3	0	5	0	4	1	7	0	0	5	7	1	5	5	18	6	3	1	13	6	13	3	5	2	2	1	1	1	11	11	1	2	4
Actinobacteria (1760)	12555	239577	240975	49747	133218	11854	1169685	17074	205826	431926	630604	278650	10836	35981	11264	14410	35353	18399	196356	18136	336140	7983	14375	156991	14181	27282	340505	124899	136550	634254	12823	86516	789192	12363	36211	64338	1384519	15890	12039	47481	542483	71982	60840	30777	78519	13509	62890	16711	315165	185944	37527	28931	489288	153286	172460
Acidimicrobiia	79	152	483	126	19	316	607	346	100	291	33	811	194	28	226	155	584	252	600	266	435	49	264	64	300	171	373	340	196	101	137	229	284	335	91	120	501	88	293	178	803	622	1107	356	174	181	115	171	118	68	427	421	190	311	189
Rubrobacteria	14	11	71	7	0	16	64	43	7	40	2	58	42	3	5	5	147	25	66	39	18	23	21	2	9	5	63	5	44	5	9	27	94	4	47	15	100	19	5	17	147	54	116	39	27	8	95	27	10	3	39	18	25	31	15
Coriobacteriia	32496	214027	141999	61698	29037	101133	436209	13340	56997	101085	33910	327623	44062	2537	68618	92791	37517	82518	316266	38481	167388	23903	72551	23604	59953	59377	58542	150834	262038	257762	41016	73721	39278	37413	120177	50784	89805	163495	106353	186528	137194	89288	446208	60043	196066	79395	54649	107189	559011	195637	141885	131941	106175	162420	266310
Nitriliruptoria	8	4	46	48	1	10	42	11	5	22	2	96	27	21	3	17	67	27	40	17	25	5	16	1	33	11	35	30	19	6	5	15	28	9	1	3	30	5	0	11	57	36	101	36	13	5	115	10	7	2	31	30	19	20	14
Thermoleophilia	33	32	137	13	25	63	94	89	21	49	4	213	80	6	21	19	129	72	174	72	90	21	97	8	62	59	158	30	57	14	32	65	52	55	21	34	125	24	24	14	251	190	404	151	48	31	34	69	20	13	127	88	72	94	47
Mollicutes	114	121	213	138	36	363	628	390	157	149	59	1504	185	186	193	74	251	1197	85	550	212	113	6266	125	338	212	130	283	232	44	331	195	1188	2874	192	154	201	126	121	317	3023	1869	5141	351	113	350	152	406	61	571	787	5645	226	96	367
Nitrospinia	2	7	58	5	1	7	24	13	3	25	2	47	4	7	9	9	23	119	39	5	36	1	35	0	5	4	23	61	11	9	8	27	21	30	6	12	13	8	9	17	40	29	66	9	7	9	1	19	2	5	36	43	3	13	11
Caldisericia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Candidatus Cryosericia	3	0	4	0	0	64	7	4	1	8	0	3	1	0	2	18	9	5	3	3	0	1	6	0	1	2	4	82	1	3	2	3	8	0	0	0	5	3	2	5	3	1	5	23	4	2	1	0	0	0	2	6	0	1	1
Candidatus Peribacteria	1	9	26	15	0	43	7	12	3	3	2	7	11	3	2	5	11	5	15	9	6	163	20	0	54	13	4	19	9	8	41	22	6	10	2	3	9	3	0	23	12	13	30	5	9	28	31	4	4	11	17	96	2	10	5
Flavobacteriia	774	1282	2456	1384	1141	7794	2760	2141	1283	3879	432	2597	2951	1149	2325	2667	3349	2967	967	1646	3598	6220	7224	1145	5768	2160	1076	9847	830	672	4730	2785	2760	4233	1141	894	2014	1266	6109	4431	1894	5983	3266	4617	968	8059	3081	3330	692	979	2634	5906	1099	737	2692
Sphingobacteriia	397	768	931	476	558	2180	740	705	349	1179	181	806	1129	320	661	842	1125	761	420	541	956	2646	2466	607	2402	694	284	2904	228	311	1773	1664	743	986	408	226	709	406	2183	1505	535	1191	1086	964	430	2454	1308	1005	177	427	865	1920	318	264	795
Bacteroidia	5115898	6198579	3503382	5468594	8899996	5268529	471044	4146357	3656130	4754207	3554944	1266689	4495649	4244079	9024094	3215331	3227767	5245052	1972860	4915720	4538633	8657690	2464538	9596969	6450640	3364960	2744780	5340812	4908089	3623547	7588410	6531318	1970356	7098033	3709783	4112979	4178506	3989766	6857097	9747964	3332032	5179639	1248290	3091412	3461088	5244997	4510636	6294528	8383723	3209274	2411393	6094181	3208157	3176131	4479254
Cytophagia	242	364	1166	450	309	2958	961	974	415	2107	126	1322	1447	269	927	1095	1919	1321	859	644	1089	2263	2274	422	2998	567	519	3317	609	261	2181	1397	1005	1575	375	352	793	340	3265	2101	1068	1773	1629	1129	337	2713	1758	1404	296	477	1203	2004	658	422	1016
Chitinophagia	95	496	671	297	196	1894	533	446	138	995	77	780	994	116	655	710	1014	1212	312	279	1541	1036	1454	201	1805	313	262	2303	234	68	1148	1243	542	1034	296	216	479	242	1625	1458	600	722	814	869	225	2092	865	794	144	154	592	1476	239	255	775
Saprospiria	29	130	174	107	21	335	84	56	46	188	128	113	149	29	35	105	138	133	140	83	186	372	252	24	191	42	65	373	26	15	426	244	351	166	40	55	173	29	405	541	95	149	229	187	77	239	182	129	29	52	108	189	34	51	183
Chlorobia	20	11	88	20	5	41	75	54	12	74	5	247	67	7	30	15	60	68	89	42	43	6	128	4	62	81	44	51	17	4	79	70	63	130	26	17	29	31	62	57	60	108	164	90	37	20	56	49	16	10	79	52	24	38	62
Ignavibacteria	29	38	197	62	20	261	180	179	49	168	75	202	119	53	73	67	138	138	36	99	210	34	368	32	351	80	45	216	63	80	152	91	187	235	61	39	58	43	630	364	131	795	271	92	55	254	168	176	33	52	243	275	87	62	197
Rhodothermia	15	7	12	0	0	21	23	10	1	26	0	72	18	1	0	8	42	27	20	14	21	3	12	2	30	3	18	18	11	0	18	6	17	5	3	8	20	1	44	0	46	27	124	18	3	9	3	7	4	2	29	37	12	12	4
Balneolia	5	10	82	10	4	23	81	18	7	8	7	18	27	15	37	10	26	5	4	9	6	2	123	18	141	18	30	39	5	3	16	19	48	90	26	9	10	14	48	9	18	29	29	8	3	15	2	51	12	11	7	23	7	7	14
Gloeobacteria	3	12	15	0	2	5	37	10	5	7	0	21	5	0	0	2	15	13	15	14	6	2	10	0	5	3	35	32	4	9	19	2	7	7	2	6	6	2	7	12	50	19	24	14	6	2	1	4	2	1	14	22	11	5	6
Candidatus Riflemargulisbacteria	4	3	15	1	2	14	16	4	0	52	0	42	6	2	1	0	12	4	1	2	2	1	12	1	1	1	1	4	0	0	1	0	20	13	0	0	2	1	22	6	6	4	6	3	1	3	1	2	3	1	12	13	15	3	1
Candidatus Sericytochromatia	0	7	12	1	0	2	5	9	0	9	0	12	2	1	0	0	7	2	17	3	2	3	4	0	0	1	4	0	4	0	0	3	3	0	3	0	19	0	3	0	7	10	9	2	2	2	0	2	1	3	6	2	2	9	3
Candidatus Babeliae	1	1	0	1	1	0	1	0	1	7	1	1	0	0	1	1	0	0	1	1	2	0	5	0	0	0	1	0	2	1	0	0	0	0	3	2	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	14	2	0	0
Thermococci	5	8	56	28	2	49	30	48	16	16	2	54	36	19	6	20	48	11	28	7	11	14	31	7	64	23	30	57	42	22	12	19	42	26	7	11	205	15	83	29	44	27	66	31	19	13	89	123	1	34	28	48	7	12	23
Archaeoglobi	0	2	24	7	0	23	15	8	0	10	0	6	7	4	1	3	10	4	2	4	14	0	9	2	8	4	20	9	3	5	7	6	11	21	4	2	7	2	9	1	10	7	13	4	8	8	1	20	0	2	11	28	8	2	3
Methanopyri	0	1	2	3	0	1	0	0	2	0	0	1	0	46	0	0	5	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	2	0	0	1	2	1	2	2	0	0	0	1	0	0	0	1	1	0
Hadesarchaea	0	0	0	0	0	1	1	0	0	1	0	2	1	0	0	0	0	1	6	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	12	0	5	0	0	0	0	1	8	0	0	0
Candidatus Methanoliparia	0	0	0	1	0	0	0	1	0	15	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	1	3	0	0	1	1	1	2	0	0	0	0	0	0
Methanobacteria	426	145	983	173	85	321	88968	3463	339	304	49	87111	263	382	214	140	137558	260	80	191	229	106	16283	210	224	230	245	883	214	152	234	230	367	339	209	351	173	113	274	286	303	506	9976	292	1137	475	332	327	76	145	326	9134	314	127	209
Methanococci	14	6	8	5	7	41	80	32	24	10	6	14	16	17	5	13	14	21	10	10	3	14	69	18	40	10	14	33	1	6	14	12	100	20	11	3	57	13	18	62	5	9	14	7	9	19	9	27	5	18	40	45	11	7	29
Thermoplasmata	18	30	207	14	6	112	173	111	62	106	13	379	48	25	211	42	186	70	230	78	214	25	149	6	88	76	78	118	65	62	81	86	141	201	53	72	94	38	82	96	489	270	248	145	68	70	75	106	21	39	234	148	53	110	91
Candidatus Poseidoniia	6	27	139	29	34	100	163	151	10	21	62	200	89	34	183	25	159	125	56	41	91	50	225	106	98	149	81	126	21	10	190	297	125	264	72	9	77	21	212	250	139	126	156	127	52	140	112	101	11	47	138	121	60	22	118
Halobacteria	159	228	748	121	30	331	766	337	183	453	70	1417	399	25	121	157	841	373	869	391	369	138	402	25	288	216	581	325	285	83	214	461	530	339	107	137	853	91	319	236	1221	692	2493	487	292	168	375	414	126	130	648	467	278	386	296
Methanomicrobia	75	161	600	70	63	443	366	263	187	173	122	662	213	83	122	71	607	286	299	244	348	85	421	64	302	159	194	359	244	49	258	292	377	323	129	98	290	115	288	472	467	299	1075	407	173	229	223	289	54	70	584	545	130	141	237
Candidatus Methanofastidiosa	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	6	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	3	1	0	2	0	0	0	0	0	0	0
Nanohaloarchaea	0	0	1	1	0	4	0	0	0	2	0	2	9	0	0	0	2	1	0	0	1	0	1	0	6	0	0	0	0	0	1	0	2	1	0	0	1	0	9	6	9	1	2	6	0	0	0	4	0	5	3	9	1	0	2
Thermoprotei	12	18	139	14	4	89	98	40	21	38	2	86	79	26	23	8	100	45	52	30	92	9	121	11	42	74	25	24	19	5	41	60	42	62	34	19	46	8	17	42	87	57	118	70	57	74	22	56	2	13	114	76	20	21	40
Nitrososphaeria	8	14	8	0	1	44	39	31	5	95	0	37	29	1	2	20	12	42	2	30	8	1	21	0	25	4	10	46	2	2	40	10	9	4	20	2	6	6	7	3	13	17	23	24	2	31	55	135	5	0	28	11	3	4	1
Candidatus Methanomethylia	0	0	7	0	0	3	2	3	0	0	0	2	0	0	0	0	2	3	6	1	2	0	0	0	1	0	2	0	1	1	0	0	1	0	0	0	3	0	0	0	10	0	1	1	1	0	0	1	0	0	0	1	1	2	0
