ERR2840913	ERR2840898	ERR2840915	ERR2840901	ERR2840908	ERR2840936	ERR2840926	ERR2840892	ERR2840903	ERR2840906	ERR2840893	ERR2840925	ERR2840934	ERR2840910	ERR2840940	ERR2840924	ERR2840894	ERR2840937	ERR2840897	ERR2840914	ERR2840890	ERR2840928	ERR2840922	ERR2840911	ERR2840929	ERR2840912	ERR2840888	ERR2840923	ERR2840916	ERR2840909	ERR2840939	ERR2840895	ERR2840917	ERR2840938	ERR2840896	ERR2840889	ERR2840900	ERR2840904	ERR2840941	ERR2840919	ERR2840902	ERR2840942	ERR2840921	ERR2840935	ERR2840899	ERR2840932	ERR2840930	ERR2840933	ERR2840905	ERR2840891	ERR2840927	ERR2840931	ERR2840918	ERR2840907	ERR2840920
Saccharomycetales	555	1282	2746	1138	827	4031	3554	2420	1377	2090	338	3354	2465	1398	2770	1213	2626	2757	1379	1563	4716	2977	5345	593	4076	1821	1464	5103	1399	568	3101	2183	3311	3591	1136	813	1820	951	4777	4164	2306	4128	4103	2730	1188	3930	2883	2171	460	1758	3143	4648	1343	1046	2502
Pezizales	55	104	391	163	40	505	371	291	128	298	23	438	345	116	302	156	270	347	167	155	690	169	393	85	539	265	91	520	85	61	433	393	202	790	73	117	264	121	607	462	269	544	404	306	196	414	444	166	40	115	367	585	94	105	233
Orbiliales	79	75	191	24	3	219	162	74	35	88	8	145	110	57	166	81	107	107	62	128	158	160	180	125	284	81	62	212	136	19	308	110	165	174	44	41	65	41	171	157	129	206	153	190	49	97	117	105	54	34	155	254	51	68	103
Chaetothyriales	70	172	439	139	160	401	336	162	117	352	31	432	193	50	301	70	446	268	159	282	446	313	313	47	245	255	351	203	216	23	206	264	268	334	73	80	313	70	327	252	343	631	602	374	130	151	216	202	434	41	368	318	94	134	163
Verrucariales	0	6	28	4	7	30	42	5	3	33	0	17	50	27	8	7	9	14	9	3	164	12	26	10	5	44	3	8	2	3	14	14	3	9	2	3	21	6	40	4	3	59	22	47	25	40	2	15	3	948	14	29	10	6	6
Phaeomoniellales	11	7	20	0	0	37	6	5	3	4	0	9	9	2	4	3	4	37	7	19	4	44	37	0	24	6	19	41	4	5	21	50	12	8	0	2	7	0	33	6	13	38	14	29	5	22	8	55	2	4	30	27	5	4	4
Eurotiales	278	405	1435	606	235	2140	1666	878	336	1281	138	1605	1124	455	1034	600	1298	1272	845	655	1539	1442	1639	241	2036	709	647	1909	503	168	1742	912	1366	1340	424	501	874	408	2337	1783	5297	1828	1818	1354	653	1279	1165	1005	307	223	1415	2381	716	463	1056
Onygenales	132	87	197	174	68	608	366	199	101	281	131	450	245	114	186	104	324	212	160	173	482	831	647	69	711	204	173	353	114	76	413	317	421	226	121	75	334	116	776	658	271	496	430	368	156	393	393	274	61	206	300	573	106	86	349
Ostropales	1	0	11	1	3	1	9	12	0	1	0	11	0	8	2	3	6	2	1	1	3	0	8	1	1	0	0	1	1	0	1	8	12	2	1	2	7	2	1	2	2	7	13	7	0	2	3	11	1	2	15	9	1	1	0
Lecanorales	20	49	66	61	58	80	97	50	53	67	6	95	54	30	93	26	64	89	55	38	44	117	121	15	114	135	18	42	30	9	110	69	76	70	58	17	88	15	196	292	68	95	118	89	25	44	36	64	8	10	116	134	25	23	170
Teloschistales	1	4	13	8	1	36	40	16	1	2	0	20	20	54	7	12	3	9	5	1	4	1	34	0	20	15	16	7	1	1	7	3	5	23	23	2	5	3	10	7	3	14	12	16	30	1	3	23	1	35	25	40	1	1	7
Umbilicariales	7	6	24	9	3	36	30	16	8	29	0	76	12	14	5	2	32	16	81	9	5	6	41	3	9	21	21	27	8	2	5	12	36	17	6	3	12	0	47	100	21	46	80	60	3	11	48	13	12	1	83	37	6	33	59
Geoglossales	377	567	2008	373	153	1610	1479	1035	383	1266	145	2386	1025	203	471	541	2165	1344	1682	1075	1409	1220	1432	280	1766	682	1175	1752	620	286	1006	1490	1221	902	267	424	1667	323	1512	1299	2129	3666	4002	1794	624	1488	1000	966	296	472	1583	1614	822	889	851
Xylonales	2	10	17	8	2	8	2	3	2	22	2	4	3	1	1	0	5	3	2	2	1	0	7	1	6	5	12	2	0	3	4	0	2	9	6	13	16	6	3	1	8	14	9	2	5	0	1	0	10	2	4	2	2	1	22
Symbiotaphrinales	1	8	22	2	3	1	1	3	3	2	1	4	1	1	2	1	9	7	15	3	5	3	12	2	1	0	1	3	1	1	2	8	10	1	2	2	8	0	2	2	2	14	5	4	4	5	6	3	1	0	4	8	4	3	6
Arthoniales	3	2	7	10	1	114	40	8	2	12	0	32	6	3	0	5	7	13	4	3	7	66	23	1	92	1	18	48	3	0	116	4	1	42	8	6	23	3	5	33	9	19	8	3	3	55	8	2	0	1	13	146	0	1	21
Patellariales	1	2	3	4	6	10	21	9	3	22	0	26	35	11	5	1	15	16	6	6	15	6	22	1	21	12	12	2	6	2	2	9	61	22	4	7	11	2	21	45	32	46	49	16	5	10	11	10	5	1	25	30	25	7	21
Botryosphaeriales	20	62	234	45	18	417	349	162	33	285	17	563	129	35	85	165	210	314	214	170	319	242	264	33	388	174	145	318	71	39	260	169	324	242	86	52	264	59	354	209	414	410	504	271	94	265	238	151	36	33	322	398	130	124	216
Microthyriales	0	0	12	4	0	10	3	3	0	29	1	7	0	6	4	9	21	7	3	1	6	24	11	0	12	5	6	13	2	0	1	11	2	6	2	4	4	1	27	1	11	5	15	6	1	4	2	14	4	5	7	16	7	3	4
Trypetheliales	2	1	8	1	0	4	3	2	2	20	1	9	2	2	3	0	3	2	0	2	1	10	6	0	7	2	4	25	2	6	0	8	9	4	11	1	8	0	6	9	8	6	5	10	0	1	1	6	2	11	10	24	8	2	2
Acrospermales	2	4	7	0	1	4	6	5	1	0	0	2	0	2	2	0	5	1	12	8	6	2	6	2	11	12	7	0	10	1	16	0	2	8	0	0	15	2	7	2	13	4	7	5	0	0	0	6	4	0	0	3	1	4	2
Venturiales	92	39	141	140	23	257	161	98	43	134	15	252	130	47	78	51	161	62	83	93	191	34	306	27	208	54	51	158	76	32	151	74	153	207	45	40	140	54	215	77	176	164	237	175	62	190	124	182	14	46	164	184	137	50	74
Phaeotrichales	3	4	6	0	5	15	11	2	3	0	0	10	15	0	1	2	11	3	6	1	1	0	32	2	2	6	1	2	4	1	2	1	9	6	0	0	10	0	0	0	8	10	22	15	2	3	1	8	0	0	6	8	5	1	3
Dothideales	97	23	48	13	9	130	97	34	20	59	8	172	67	26	40	41	160	52	68	31	141	39	101	18	78	32	68	111	44	9	103	44	59	70	18	16	52	26	191	105	88	85	131	56	21	35	133	49	7	15	81	107	29	45	58
Myriangiales	13	12	45	7	1	51	51	54	7	20	5	49	44	3	10	3	92	39	20	16	57	2	65	3	18	15	24	54	10	24	26	23	15	12	28	10	25	12	15	15	57	75	103	50	27	40	12	37	5	8	41	116	8	10	12
Capnodiales	87	192	847	311	57	831	522	296	108	565	105	710	307	68	253	207	748	414	327	1273	1077	306	747	78	712	252	546	959	197	75	598	552	725	757	162	94	498	138	974	845	666	1006	972	625	229	544	519	413	84	270	703	667	680	267	436
Pleosporales	197	293	884	736	37	1210	744	558	315	830	94	1110	753	222	570	309	867	807	514	478	1488	872	1001	130	1213	549	467	1143	357	174	840	678	1213	728	279	221	645	223	1479	1197	794	1203	1209	939	319	737	1065	652	163	145	854	1084	382	344	723
Mytilinidiales	2	9	24	20	12	47	69	56	4	54	5	77	45	5	11	14	60	39	43	77	15	4	33	3	50	11	27	23	6	2	18	82	68	21	6	11	40	14	26	19	41	37	58	29	15	30	42	31	11	12	77	60	56	9	29
Erysiphales	207	58	144	35	50	415	246	150	56	163	78	218	255	72	229	256	232	259	49	170	160	164	246	33	298	97	88	684	85	12	310	213	218	131	179	57	71	76	604	345	165	337	218	173	140	309	587	215	418	43	207	430	123	79	174
Helotiales	326	300	900	254	176	1867	1056	575	641	933	79	1049	944	321	1029	549	929	848	337	390	1386	1586	1176	243	1441	686	242	1536	299	132	1389	591	968	1200	427	228	574	248	1875	1414	793	1355	1164	1055	367	1330	1022	627	141	281	1022	1698	360	210	792
Hypocreales	720	827	2120	1002	394	3109	2370	1259	746	1981	281	3057	1911	724	2386	980	2499	2204	1430	1423	3419	2553	2718	452	2790	1233	1483	2985	933	408	3219	1430	2138	2708	760	841	1975	627	3348	2915	2579	3202	3702	2321	889	2325	2879	1849	429	1209	2388	3647	1046	797	1546
