A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A3	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A4	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A5	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A6	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A7	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A8	A9	B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B3	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B4	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B5	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B6	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B7	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B8	B9	C1	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C2	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C3	C30	C31	C32	C33	C4	C5	C6	C7	C8	C9
g__CAG-110	2773	22820	411	22398	85616	127464	23464	4313	4324	0	109146	2307	0	30375	2476	1460	11514	8647	30023	15982	35414	14141	17980	44419	6390	14423	4779	90581	35585	11070	9644	1967	1236	3152	37069	10029	47096	28690	13212	5779	6697	55074	1025	20748	3826	59669	2133	6096	3359	22596	46772	10746	29778	108855	12694	13292	20571	8307	15565	102119	150527	4678	69745	46990	68750	57381	21663	215793	37336	14597	33923	3567	46713	28955	31259	31918	35026	31827	47120	312358	5318	225074	13241	187808	99711	47657	65536	190961	259163	224282	59723	44868	518188	49979	362336	114341	51552	26268	136438	132920	17868	18842	32281	80532	96123	108633	60689	264428	8542	69685	8976	4853	217317	105491	71117	54604	212709	48516	276782	131204	345434	71307	379064	147621	174233	102095	61241	32708	275220	33793	115217	74686	74920	337899	24282	17249	76748	127004	190083	293197	59988	82825	11976	290933	15818	11230	39219	28573	75378	171742	333972	198075	173397	32000	16066	80606	81871	9381	212005	49880	44887	170499	221811	2024	120710	121859	49248	54922	110792	119931	66975	132809	57054	177706	17579	153858	104232	222783	77251	121770	198738	19999	276721	284961	98520	235867	2573	8610	116015	317394	396614
g__Acetatifactor	22639	16089	408	41451	28386	35448	9659	92953	22417	963	41754	1929	0	85313	4075	28637	81952	8517	36041	12701	31149	59037	7498	17135	5010	2106	2573	5196	33773	37448	55390	15992	30115	44201	955	9521	13155	10028	61284	14033	17900	3565	9201	3099	2979	21339	20366	142949	272635	2349	9462	4354	5549	39958	9614	2711	3202	17651	1076	18261	45369	5782	21939	9597	17509	3398	11385	8394	129499	7313	27769	32327	2775	32613	27579	1914	9416	11005	60737	118846	220489	31247	8816	19440	14726	758132	36317	45181	325646	173909	269176	35417	49309	252576	118830	52505	57754	43872	87684	104927	5098	241988	606420	6004	15398	365298	46814	54774	12821	77371	10489	11742	86372	34917	133809	122032	210108	226976	48518	15444	43077	20915	33676	50877	22227	107362	469815	79879	8698	154474	47113	161053	311036	12658	451182	73621	375205	29635	258082	106008	10356	17009	47187	97526	76362	23920	33092	6477	84167	66720	119362	130289	42998	34693	16361	13433	159397	3643	83826	451696	80552	1629337	71696	2305	91115	201757	37642	2603	87361	193920	33169	70204	53970	19942	17707	88076	46188	13713	64786	35983	11927	99014	327777	109648	34616	76019	3915	53316	47624	234614	52245
g__ER4	12531	60064	0	36381	40694	45389	63552	3334	12593	0	187878	8243	2978	44522	57890	13147	32990	23315	105810	26952	6948	43099	19998	212161	1488	49993	14439	23805	58932	16181	71243	1833	37641	2386	4862	43459	19946	72691	17594	43939	1163	34539	13258	123053	35301	98837	17329	31715	6704	23129	60925	28311	36726	50562	26522	9707	19937	24806	35034	84023	56599	3346	29784	46829	27643	23778	29251	84478	68703	27182	36000	6441	179939	55178	25522	24844	44511	24337	32448	111191	7736	97698	40299	126281	164667	64094	162069	83402	138772	90110	105639	71335	157638	58171	39578	118145	72219	13608	219210	97361	38587	18756	166501	118431	124696	50047	67624	66692	7967	92706	12083	73742	128048	135454	162844	136721	167991	65534	121444	89124	178220	103564	110140	120797	35453	58551	83894	187531	103955	30883	123881	79817	97896	84930	61886	45854	55075	71626	110957	74943	43361	45563	16080	94794	36945	14709	86403	19223	89742	149660	202661	94847	606022	41634	24201	156327	186446	8812	581710	62606	178509	93941	146930	1118	178372	229485	49676	22674	93252	463374	123154	138248	112645	166937	18485	69379	104428	159121	28725	169633	228129	27571	72435	100689	117167	234876	4982	20657	61472	179170	169921
g__Agathobacter	33251	34311	576	25617	84171	60631	14027	14301	176395	0	53345	35223	0	54148	6205	32640	30601	96076	25021	40609	37702	62365	155820	12314	26350	1644	61313	4271	7266	4577	70386	7886	153533	1904	1169	83935	10316	14281	17691	2235	42620	61037	11963	3657	11323	13722	97362	9271	7834	3293	22609	134832	5677	16899	13672	153972	70050	42112	4093	26514	33178	4255	41846	24282	12849	5199	85431	30520	74274	150142	166151	45884	9441	14795	37948	796	42411	12345	92546	174081	24286	21796	76534	5994	12364	309427	20443	12992	38111	36393	165897	64100	66503	156123	7810	68384	9014	47064	142470	28045	122827	69253	216313	14783	123215	166361	277181	158267	178993	44358	23248	15531	278849	48305	62204	173131	92336	175696	7994	24837	20683	10276	28597	7137	46098	80738	196028	774962	6512	48003	37709	36645	32244	232302	86579	185099	15875	48095	45111	13850	16121	15786	10970	91386	98200	42849	259369	25764	102294	164083	75739	234633	136061	22809	124403	17105	68500	3967	564947	176385	143374	286438	29298	3595	183213	169524	266648	14233	277223	213845	66704	15993	186183	32918	30914	532437	10828	3709	23631	20942	7962	72993	182530	15382	79514	17961	55999	25859	166979	117930	50426
g__Parabacteroides	15577	89493	36160	58641	39590	127970	94167	22852	9707	0	26127	24360	10814	38563	51952	13145	60732	62473	34894	41335	99429	35078	177556	59300	38730	35651	29491	35139	17324	181237	61173	62195	66613	7074	127548	27075	10506	16107	15117	68945	47244	56771	45897	75882	59477	94007	40719	151107	32468	2699	5106	10209	134367	24078	23405	64876	7058	9369	4890	72552	86070	65678	37784	48660	38320	5506	61396	41095	24300	10086	20715	2009	32499	11108	16137	30608	5176	68498	132243	46267	130008	13505	6132	31596	94270	136228	16664	31136	42020	39820	86756	29256	487101	204828	47421	61144	24551	21365	68490	23953	7785	174846	64211	65597	78364	27772	79670	53837	164079	131815	96412	179187	60959	22520	22240	51091	50964	30124	38744	34856	174228	72267	115509	151042	102072	219417	79532	90522	113624	10490	81765	61533	55507	155068	141628	192411	139078	67545	42993	6120	10933	10069	6032	76809	8322	5699	10799	33466	47890	41486	107379	14729	12866	14591	23622	85425	25594	294242	208324	52668	70540	55348	333068	1316902	69281	49328	46474	82843	37214	259897	60958	80520	52006	37087	19183	169110	7095	37898	30060	238061	131722	41351	50860	67967	16106	54111	7130	9357	36891	124849	257335
g__Escherichia	1921	65731	19747	1155	2246	29143	24243	839	690	0	0	3154	1626	6727	45201	0	1081	12114	9089	684	3338	0	0	9268	0	0	0	60840	0	131787	86770	483	17379	1909	5852	0	0	1871	12314	0	25558	0	6538	18273	0	1963	19262	0	1931	501	3230	6611	7064	0	481	2830	8180	0	940	24735	3824	4329	3030	989	17361	224677	38235	24006	118627	2738	796	14189	981	498	4196	10045	692	0	1885	23132	10177	1194949	13080	174381	6129	94262	1220481	10025	11155	3302	9142	648129	1137	5151	8630	1596	6594	677053	5354	3134	3162	0	89717	373	22487	285673	1779	40087	49114	37742	10724	826	5238	1690	10663	1657	24646	708	5232	53029	10270	12117	12477	90981	20673	113870	9603	23909	8070	461	132585	45184	58276	3156	5044	3221	42137	34823	12268	17828	2633	6903	6994	171416	1232	9583	43422	8679	4149	14525	9033	7088	9261	1045	0	19108	13350	913817	571157	2128	134045	1689	3959	3500415	52456	1481	21758	31723	275010	8480	1934	49818	4642	80189	1371	131144	1278	19712	33875	4782	56425	50204	4871	3034	6120	15218	853	108126	4103	39312	37510
g__Prevotellamassilia	8184	101076	516	133652	4348	28086	2324	8474	15922	0	29577	4166	200461	10427	773	9894	35380	4299	55180	8709	2252	2607	825	108111	1105	14238	7911	1395	3844	1845	1291	3662	1232	12845	889	139944	5144	4713	3950	103021	611	15811	221111	8403	70861	3828	22387	15152	3140	45179	113777	18331	10079	4357	6774	2208	12972	107995	14477	7229	18000	3098	1114	3442	2450	3404	3502	7051	3508	177679	1885	11662	46388	28587	3177	2469	7348	2189	1016	12773	3110	83723	250483	28997	18293	6817	101761	11114	10493	155665	194149	18935	8123	14007	128318	54953	174059	119396	105468	73871	258691	9947	2769	17092	5326	14935	7541	7880	2045	6928	11250	2366	6548	103993	20294	21613	20175	33515	8880	9904	43749	17418	6179	137788	103535	7653	279612	10934	4813	131013	152601	87343	74868	11741	11556	3842	18018	17037	15664	10591	139519	70603	359191	110867	97706	262576	143075	7096	235639	60690	6819	204451	60351	178840	16152	102867	22769	2990	176400	63058	240700	229412	89472	2843	185390	21687	21281	4089	211345	19819	78381	8839	138806	79389	17202	5740	42195	24601	373264	28884	23203	12165	18830	169873	13828	21224	662515	555237	581349	17105	217904
g__Gemmiger	7069	21556	2119	9044	37432	45089	30363	12454	5422	0	93421	12177	0	12870	20000	9684	19504	12375	10038	32754	53219	31032	114937	20023	89923	5734	73337	26924	38792	29491	23722	6519	764	8368	394165	13240	16340	17739	14510	74432	500144	12623	7084	63699	25496	54707	11378	19814	21389	6247	6838	54866	85397	15944	9223	54435	16855	14810	5497	17037	26057	79912	19191	36785	67619	16198	32825	43681	22349	19000	92378	13983	5666	15264	30121	8522	24141	55248	88705	45249	93739	71219	14999	38142	24866	136173	20314	20302	36314	27558	39822	15116	251650	25496	26863	150432	52262	53939	74046	81046	24223	140093	86563	17538	202036	22247	48048	361825	190812	162186	9971	14356	39849	15920	38995	51017	59719	27462	64240	29030	88311	30109	313288	49778	30320	106479	37115	29077	195175	15453	92099	53227	51353	72767	108157	72594	43383	44400	22406	44017	15688	7065	12530	30707	12695	7563	41665	66069	39310	111332	32347	32688	41451	26890	4100	33395	47135	3110	32234	58241	74578	61451	31690	7260	49052	187196	55840	27727	41852	124105	16871	50566	51843	27103	41579	205418	16326	22274	43177	37072	74545	85170	119385	13055	56386	44079	11034	23835	80922	138801	96115
g__Ruminococcus_E	567	2861	15406	1723	34654	21456	8020	0	431	560	6000	565	0	4459	0	1402	9820	1620	8269	11678	52842	5212	31176	3006	10823	2100	26916	7178	2082	13017	3938	8701	40718	0	99335	1894	3200	7246	2362	10803	7833	3338	268	13822	17050	5376	0	1030	3569	1460	2353	3345	45578	6964	9487	52190	8304	8999	3063	8211	74936	7047	36741	17633	6886	14102	6432	62354	30457	14016	53114	822	14719	6311	14065	6706	2072	1206	12001	273487	24730	10137	1741	10096	28702	101349	17204	26427	76881	46368	14515	3997	13818	2571	5615	43258	4259	28563	58705	159228	14093	26854	34615	143331	28111	39313	25342	88512	145868	108837	25703	792	15987	19027	15450	37852	110679	3862	18404	23433	90714	55343	57946	31316	27972	557751	8849	42058	161066	8075	45235	52698	56270	607012	15203	43223	13045	50276	28330	41701	21311	2722	865	34054	1368	553	111217	68077	20155	391567	114215	105655	17824	11829	1248	20729	12967	15405	196963	1786	42484	85955	223341	532	10330	50591	44844	64269	10357	32418	2902	154849	13231	20338	5995	327843	15485	5519	36348	39672	15168	14921	184663	6485	36678	21931	14175	27298	39353	137860	713449
g__Oscillibacter	9378	30286	24697	14618	37448	25576	33324	5146	13190	840	74301	5794	2392	26724	50364	10277	14829	17775	72315	27766	18196	24344	11446	56039	20304	23484	7632	14345	32790	26757	33472	35356	12918	6463	6566	14727	14074	30550	14677	18247	11222	29319	7831	71118	47736	46128	9002	31680	8629	14233	17718	29278	14236	45006	20919	10243	11276	18185	12268	34627	27114	14973	20406	23894	14252	10350	18110	25862	18025	12351	15211	6401	48333	33172	14580	9319	26930	18194	28265	60141	28000	55881	15297	48559	54236	39575	77358	44330	64649	96175	86251	23255	102737	54912	32308	55877	36098	27053	109287	35411	25268	23820	141979	82516	90798	49335	98221	53595	15291	39067	7317	74533	42633	43588	67241	46187	70558	44438	45198	37547	62258	49564	61277	48176	24269	91060	51984	98409	67229	19688	70532	43458	46384	27503	27323	35897	40694	54201	45027	41906	26991	51318	10672	53565	14547	5159	38024	11501	40871	57887	73494	52202	162408	31250	23063	50689	78979	31637	284271	56786	64412	105949	66291	959	73386	97444	26353	9882	57351	227664	47121	65464	71519	71978	14166	53259	58902	69649	34328	85957	94842	17896	45341	55416	77172	94079	4791	19465	48382	102780	81503
