A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A3	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A4	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A5	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A6	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A7	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A8	A9	B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B3	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B4	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B5	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B6	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B7	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B8	B9	C1	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C2	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C3	C30	C31	C32	C33	C4	C5	C6	C7	C8	C9
p__Elusimicrobiota	0	0	0	0	44454	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	254	0	17638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4568	0	314	0	0	0	0	0	2684	0	0	0	0	3472	20289	0	0	0	0	0	0	0	71208	0	277	0	0	0	0	0	0	0	0	0	645	0	0	3190	7636	695	0	173870	708	342	88036	311	539	507	433	255	0	376	784	3188	380	359	0	0	359	0	0	0	295	0	0	475	0	0	123436	48260	262	698	395	2878	6592	362	284	258	16138	260	287	0	0	0	328	125440	85648	64601	1604	0	321	0	602	0	272	0	8439	10783	5802	0	917	747	717	0	16900	269	537	14313	0	937	54038	51480	0	429	56023	2307	186958	922	0	746	945	4486	189941	150424	622	1423	306	467	266	289	0	79475	4490	0	50893	12819	0	607	17096	290	2497	2036	715	260391	843	16909
p__Thermoplasmatota	0	0	0	0	5158	0	0	0	0	0	472	0	0	0	405	0	0	0	0	0	0	279	0	26034	0	8153	4093	0	0	1249	0	0	0	0	3053	0	0	0	0	0	0	0	0	0	0	12847	0	286	0	1114	0	0	0	0	0	0	0	0	0	14442	0	0	0	0	0	0	0	15589	0	0	0	0	23708	322	0	1805	0	0	0	470	0	0	0	32442	36658	0	0	0	440	41549	0	0	47633	320	18794	6261	0	0	0	0	0	0	433	309	0	0	363	0	0	0	0	0	0	12130	0	268	281	0	39549	46997	347	0	307	60829	20449	0	0	0	282	0	0	0	0	676	0	0	14577	0	0	0	0	18808	254	0	0	0	0	455	0	268	267	0	16960	0	0	1049	0	0	502	0	0	411	372	0	271	289	0	0	0	510	0	7735	0	0	0	297	497	65920	767	24673	457	0	318	0	0	5274	252	0	3153	386	27477
p__Methanobacteriota	0	0	0	0	0	413	0	0	0	421	642	0	0	385	0	0	0	0	3751	0	0	0	0	3102	0	288	0	0	0	0	496	0	0	0	619	0	0	0	0	0	0	2459	0	0	0	0	0	252	0	0	357	270	398	0	0	0	0	0	0	0	0	0	0	0	332	0	0	381	0	0	0	0	2219	0	0	420	0	0	0	529	0	0	0	923	1005	0	0	6403	614	6981	0	0	46731	0	9225	337	262	0	0	896	0	0	1741	0	0	0	0	1478	0	0	0	0	257	22138	0	350	0	291	1766	4907	1345	0	1401	338	694	0	0	0	891	0	0	0	0	14372	0	0	1268	0	2449	2034	0	303	0	0	0	0	724	72177	22764	58468	549	2917	29040	297	0	612	0	359	968	601	0	0	987	0	528	332	0	10095	0	0	0	2285	0	470	0	0	0	929	0	329	1375	0	14867	0	409	1107	0	0	429	812	23876
p__Fusobacteriota	0	0	0	0	0	0	0	0	0	928	256	0	0	0	0	1339	0	5477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0	0	0	12349	0	13853	0	0	4461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	584	0	0	265	0	0	0	0	0	0	0	0	0	0	0	569	0	0	0	0	0	0	0	0	0	364	2496	0	0	0	343	0	0	0	0	0	0	3323	0	0	0	0	0	0	0	0	268	0	0	0	0	0	336	0	1293	0	0	0	0	0	538	85251	0	2531	1575	0	0	0	0	596	0	31413	0	263	0	1998	0	276	0	0	0	0	297	1177	0	261	0	388	287	0	0	0	0	18884	38986	350	0	0	607	147031	265	313	0	0	0	358	0	0	0	0	0	0	0	0	0	0	296	0	361	0	0	262	0	521	309	0	420
p__Myxococcota	0	291	0	259	489	637	0	0	0	0	866	0	0	0	0	0	0	260	461	0	264	351	0	536	0	506	0	278	317	459	0	0	0	0	262	269	293	339	0	0	414	427	0	285	0	346	0	0	0	90064	272	0	285	494	0	0	0	0	363	443	311	0	0	416	434	877	278	412	1305	0	0	0	540	453	283	654	400	0	0	1347	257	740	0	1340	1356	0	919	730	1328	863	505	309	1630	644	653	891	403	549	694	678	0	332	582	621	631	645	479	739	0	706	0	0	750	660	606	917	480	855	1149	1521	99786	540	1212	1268	893	584	420	553	734	378	861	526	549	1253	262	342	346	668	326	577	299	414	0	639	0	0	624	554	454	1121	854	737	1068	307	257	1328	698	3635	1130	503	491	1164	1514	662	1113	1490	0	701	723	1473	814	1158	593	765	0	282	783	1618	303	1163	1639	0	759	689	907	2442	407	668	833	825	1996
p__Patescibacteria	1384	314	0	899	476	364	0	273	325	1014	1562	969	665	838	0	328	0	426	347	0	0	461	0	603	0	428	339	0	303	0	252	0	0	761	291	407	562	301	0	0	279	414	278	598	542	456	0	505	0	831	891	262	0	994	1057	273	1021	568	1218	385	364	0	0	1497	348	0	0	388	480	0	406	361	478	810	1425	347	594	0	300	2630	380	547	1054	1072	1095	1313	749	4656	1034	1738	1137	7034	1045	3811	860	831	929	898	3295	994	2911	476	737	1483	280	1232	483	890	305	410	9089	413	2124	1610	1488	691	765	10021	1578	1108	2645	619	1369	1495	891	1033	672	660	804	839	711	821	956	2569	564	654	454	1314	663	620	698	1565	544	1506	1000	2084	748	3167	2241	976	1094	930	1502	838	6447	2353	1522	983	2274	1447	605	1580	2870	1169	2608	2599	717	673	663	1430	3467	1024	558	1023	669	485	1546	1236	541	1604	1410	409	1859	1087	4872	1693	6257	873	1687	1910	2871
p__Firmicutes_B	0	401	0	383	826	651	0	0	422	401	1510	0	0	393	0	0	412	0	1529	417	290	705	0	1054	0	537	290	466	1896	0	357	0	0	0	656	347	538	1774	0	273	0	859	0	342	0	1837	0	377	0	349	525	417	353	830	463	279	288	323	526	457	563	0	598	617	747	591	797	618	601	0	642	0	901	842	644	1108	881	753	404	4267	0	834	363	2288	2227	400	1124	1382	1479	2833	1604	283	2676	1783	1438	2157	788	599	922	1252	493	301	915	2367	1026	629	992	1420	275	788	398	0	1438	1305	1421	2130	2460	1626	2587	2857	1809	1237	1303	1218	1673	2055	938	994	1419	665	1888	1656	1747	1654	966	826	724	1878	1032	2458	436	786	0	1380	537	0	916	4527	2504	1463	1525	1004	2796	1211	1140	1459	1628	298	1945	1467	992	1500	3864	322	1463	3736	462	1244	1229	1820	1145	1579	1512	1352	404	695	1041	1599	612	2459	1916	328	1773	1521	2220	3320	0	384	1252	2631	2937
p__Synergistota	0	0	0	0	277	604	0	0	0	0	956	0	0	0	0	0	0	0	0	0	0	0	0	507	0	0	0	0	0	572	681	0	0	0	16310	0	0	0	0	0	0	0	0	0	0	887	0	0	0	0	632	0	2044	358	0	0	0	0	0	2943	0	0	0	0	1191	0	0	1692	0	0	0	0	738	0	0	369	0	0	1511	506	0	312	0	1184	4868	437	369	255	539	445	520	0	943	0	432	294	0	0	312	511	0	0	502	278	372	0	0	12454	0	353	0	0	633	271	295	378	359	0	820	20375	734	0	528	649	27189	265	1576	0	534	0	293	0	0	1061	0	6457	0	307	0	536	0	0	0	297	0	0	0	619	362	1780	575	291	847	0	0	708	361	0	1690	0	3547	274	998	0	377	667	0	3674	253	739	267	2991	464	311	0	0	355	3314	0	481	7693	0	1188	341	541	24749	0	0	401	577	4597
p__Planctomycetota	0	380	0	279	544	448	253	0	0	490	1043	0	0	252	0	0	0	273	553	318	0	416	0	651	0	714	0	255	318	0	315	0	0	0	534	493	310	577	0	0	321	462	0	296	0	518	0	355	0	494	308	0	335	511	325	0	277	0	463	396	303	0	317	395	462	0	291	460	341	339	293	285	584	609	467	1088	413	264	603	1774	466	734	297	1529	1561	299	991	1047	1125	1085	577	0	1701	712	671	840	467	465	657	801	381	606	616	999	558	335	673	710	371	423	315	0	814	960	716	1034	748	746	1842	1567	1706	409	941	1401	1422	710	402	561	1001	398	679	536	598	1319	322	453	357	884	411	634	374	617	0	622	0	288	629	1101	580	1147	1068	1121	1176	372	695	2311	693	0	1412	692	676	1151	2233	417	1012	1665	276	715	659	1415	694	1494	635	882	0	402	1005	7124	283	1213	1694	400	1194	713	1189	2747	364	324	881	1036	2451
p__Acidobacteriota	0	377	0	0	548	531	0	0	0	295	1011	0	0	252	0	0	0	0	588	0	289	384	0	600	0	559	0	282	401	345	309	0	0	0	446	310	267	327	0	0	0	456	0	372	0	500	0	316	0	467	297	0	379	562	310	0	328	259	381	347	294	0	309	452	462	0	259	423	309	0	290	0	706	557	288	860	346	0	0	1900	0	727	0	1450	1714	250	1052	1015	1170	1171	706	362	1797	709	950	804	535	656	774	943	353	503	631	963	581	0	651	719	316	426	0	257	781	806	711	900	697	976	1610	2017	1764	474	1168	1581	1006	783	410	643	1017	387	695	545	593	1515	264	374	394	1041	375	603	396	660	272	719	306	374	644	718	597	1453	959	888	1272	734	0	2191	708	0	1388	805	951	1340	2274	393	945	1915	0	752	712	1562	898	1502	778	917	0	368	1051	1671	287	1243	1926	306	1220	775	1311	3287	508	297	981	1127	2616
p__Chloroflexota	0	400	0	0	474	504	0	0	0	425	1198	0	0	0	0	0	263	0	517	0	312	344	0	586	0	708	335	0	437	0	282	0	0	0	468	292	289	571	0	0	294	479	0	370	0	502	251	323	0	454	316	0	348	489	333	0	302	0	389	412	285	0	308	470	455	0	0	462	388	0	289	0	631	497	375	770	410	0	0	1790	0	682	271	1499	1515	344	889	928	1168	1028	608	279	1826	604	756	804	458	494	806	961	373	410	547	810	678	346	687	756	366	444	258	0	975	769	686	954	800	884	1918	2414	1636	408	1151	1455	1150	926	413	664	1040	455	818	662	649	1441	306	799	446	884	447	598	422	659	0	659	260	0	692	1054	574	1410	978	834	1151	443	0	1861	751	305	1197	656	625	1329	2030	413	871	2107	257	701	775	1720	941	1505	636	913	0	460	1160	1402	383	1292	1760	355	1222	584	1317	2807	376	467	961	1098	2511
p__Halobacteriota	0	270	0	0	455	491	0	0	0	0	868	0	0	267	0	0	0	0	481	0	282	284	0	467	0	555	0	260	325	0	0	0	0	0	493	584	300	339	0	1127	0	1089	0	0	0	360	0	271	0	703	0	0	314	406	0	0	0	0	350	387	0	0	268	463	377	0	0	482	265	0	0	0	455	438	305	763	285	0	0	1317	0	550	0	1876	2007	0	948	687	1033	855	553	268	1566	1063	892	690	417	462	637	663	0	785	560	675	365	410	569	920	0	360	0	0	647	843	689	1309	618	790	1240	1487	1359	520	984	1178	1017	631	339	397	677	317	646	498	556	1443	255	307	3441	670	370	786	264	440	0	551	0	0	657	878	605	953	786	794	1061	467	0	1768	739	0	779	425	438	1392	1433	0	726	1761	0	582	521	1318	866	996	463	779	0	277	757	1735	250	1189	1283	302	1066	527	843	2036	262	379	1287	962	7854
p__Campylobacterota	0	0	0	281	0	0	0	0	0	978	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	317	0	0	518	0	0	0	0	0	0	275	0	343	970	0	490	0	0	282	0	0	0	0	438	0	0	0	0	0	0	276	0	0	0	0	0	1635	260	0	0	0	0	0	0	1568	273	0	407	599	396	500	277	511	398	2812	420	326	474	457	509	374	375	332	401	350	505	261	590	1250	0	368	340	351	0	0	646	520	518	817	0	341	798	407	1232	470	602	270	635	302	671	444	289	354	655	406	0	375	376	1150	322	338	314	774	323	382	312	558	391	513	0	327	17014	2603	357	882	934	520	4309	431	0	586	0	285	551	1742	301	563	1805	936	529	714	0	276	285	5191	0	411	0	320	310	0	621	449	0	516	677	0	1043	482	595	592	315	317	745	651	1573
p__Deinococcota	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	547	310	311	0	565	612	253	314	0	390	409	0	0	722	0	308	307	371	0	286	0	0	0	261	255	0	0	0	0	0	0	0	0	0	271	0	266	330	0	433	691	678	0	523	478	474	354	0	0	324	0	0	0	0	439	0	0	0	252	0	0	0	0	0	0	0	0	0	327	303	517	382	502	333	0	0	667	347	0	324	0	0	439	520	0	365	508	0	257	0	551	256	376	0	0	0	0	260	543	0	376	577	0	316	0	303	916	0	0	261	314	823
p__Fibrobacterota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0	358	0	0	0	279	0	0	375	252	250	304	0	0	0	0	305	0	0	0	273	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	313	0	267	0	0	318	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	371	0	0	360	0	0	438	380	0	0	444	0	290	330	0	0	0	275	0	0	0	0	0	0	0	323	0	251	411	0	368	0	316	401	0	0	409	0	656
p__Nitrospirota	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	499	0	0	0	332	327	0	0	287	0	291	0	0	435	0	0	0	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	627	411	319	0	0	286	0	0	0	0	0	0	0	0	0	423	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	339	0	0	298	0	0	484	0	0	0	0	0	370	618	0	289	393	0	0	0	338	0	312	0	0	0	0	259	325	0	251	445	0	288	0	279	620	0	0	0	0	494
