A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A3	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A4	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A5	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A6	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A7	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A8	A9	B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B3	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B4	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B5	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B6	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B7	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B8	B9	C1	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C2	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C3	C30	C31	C32	C33	C4	C5	C6	C7	C8	C9
c__Alphaproteobacteria	1539	4565	1136	3569	20376	8539	2080	1434	2048	4586	13329	1187	1648	10026	2227	1634	20191	36820	6649	27972	74612	7634	13653	7852	1586	17884	3719	12430	4825	4428	21488	1148	1488	1331	6372	3796	3949	135920	2611	2899	4119	7363	4917	3801	2053	6916	25067	19668	3525	5604	3934	3547	4661	6732	4813	24542	3628	2743	19809	5779	3844	2457	29808	5766	5770	3042	5857	6472	7949	4068	3498	2638	8295	9254	4277	10421	4717	74944	54537	67704	3580	10592	3455	27517	25495	18957	72554	12560	24176	30647	13704	3828	23175	135954	53113	13195	7215	11668	11098	10308	4137	46767	8359	38969	8638	5869	28235	9388	141176	9667	3669	3676	37510	14977	9339	22872	27044	28090	20836	23349	21184	5752	16166	17213	15396	50362	32601	30108	20927	74463	126551	113932	91542	165893	27583	151793	103487	86273	7614	85870	4951	15609	16199	9304	3180	2945	22514	12081	7960	17898	18048	12729	17115	5443	3917	24235	10003	23019	15635	43204	8354	18062	76617	6831	103580	22172	3779	11890	21513	22442	10522	18650	8771	19018	3478	14613	24412	21282	7552	21905	29237	9167	26357	21824	18162	43261	5160	5328	13378	13942	30869
c__Desulfovibrionia	1379	2408	5049	6589	16457	13483	10511	0	0	0	22219	858	4999	13344	28370	9027	18930	29503	7192	2835	8669	6792	7082	17709	3914	5635	1407	23863	14921	18283	41036	4822	23926	1579	16668	3523	1909	17871	3524	11566	21123	16930	22118	68568	31378	14081	9119	43587	323	6037	5740	6925	54852	7570	7163	6764	4389	3963	5763	14389	23045	7704	5574	6956	9996	662	11199	10328	1922	979	4762	2586	7796	14283	11018	4918	5635	2897	24811	25284	23152	17565	4832	31409	33641	15559	29732	17074	24687	29696	38062	33084	1019	15898	15956	30342	32558	7033	7085	30855	850	42548	4027	27387	3867	29950	22221	10148	13388	29026	5941	12073	31816	8307	31521	20836	23623	479	14544	56092	14053	9141	27867	44127	47018	78834	20269	29856	33511	5833	33019	14400	14108	33837	22492	45182	11557	10609	6772	6616	16839	6528	1112	38403	12077	10955	11011	57509	37658	29854	24106	3383	41359	9164	0	17831	38096	32110	75969	16887	23036	24867	26099	74609	16631	23626	8851	32103	29457	214796	16191	35737	8050	3524	8256	15674	12209	17248	6221	23757	85331	7307	52969	16020	12892	100866	3782	6117	32834	85854	76238
c__Coriobacteriia	4224	6850	3233	3758	9012	10288	8643	2092	2312	543	27900	1433	1468	5588	7458	2699	6211	7350	14270	7969	11527	8296	8404	29061	5466	10139	7562	8091	22371	15696	9272	6481	8928	1873	16358	11039	4163	12213	1912	14941	44133	14858	1970	20893	4057	28532	6248	6816	4409	17214	8763	12440	31823	9701	4070	20390	8909	5402	4756	12495	10210	6710	10384	33169	13120	7635	21072	24122	19325	5583	7350	4007	10338	10019	10117	7818	6653	8810	21513	22286	16763	14364	7355	15902	48915	13105	21476	16066	40027	9827	16695	7579	36937	10823	6601	22565	8973	4639	24401	9977	6250	13641	23264	20703	32896	5353	10410	38987	10721	11749	5249	8170	28414	13025	29091	22272	30980	12264	18704	14113	23179	13169	38654	29489	43585	22904	7434	22591	21857	7915	45412	20654	18069	26194	10489	7748	6559	17698	7201	8739	4980	7064	4112	11586	6840	4055	154901	47852	11601	32318	24633	15766	48315	5723	3342	85954	33681	12795	53494	15027	73949	20644	18902	7718	21087	52072	12484	384625	20075	58871	15171	49779	19259	21399	4244	26583	26581	11684	5112	30170	55990	5249	23712	8287	11182	41777	17230	7176	20221	27521	73552
c__Spirochaetia	0	322	0	416	549	376	0	0	0	419	1244	0	0	346	0	0	0	555	511	332	317	397	0	67254	0	29324	397	0	422	0	0	0	0	0	618	327	273	261	0	0	0	558	701	427	0	444	1215	515	398	42137	415	294	334	493	457	0	349	0	475	460	341	0	383	615	437	342	274	538	340	282	406	0	546	517	331	114326	826	0	265	2471	483	31549	352	1529	1497	370	905	1044	1095	1465	761	637	1859	736	802	976	691	704	1105	1124	406	658	630	826	554	518	605	781	488	491	311	401	953	21341	806	960	1087	1198	27131	1646	1675	626	1299	85975	944	936	1371	669	1039	578	961	1180	1163	1863	480	542	5157	1034	528	953	1518	144885	55344	881	357	468	50356	1488	3257	1183	1176	1239	181576	673	791	324727	845	0	1698	1854	711	1147	2324	599	1538	2464	442	933	617	1768	734	1166	880	791	0	629	1163	813041	673	340303	1679	673	45141	727	1329	266719	827	1062	1192	1557	2659
c__Elusimicrobia	0	0	0	0	44438	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4561	0	305	0	0	0	0	0	2676	0	0	0	0	3456	20279	0	0	0	0	0	0	0	71188	0	263	0	0	0	0	0	0	0	0	0	425	0	0	3184	7608	664	0	173863	672	315	88001	295	538	473	420	0	0	361	774	3173	345	339	0	0	325	0	0	0	282	0	0	472	0	0	123410	48244	0	672	347	2822	6557	281	261	0	16119	0	282	0	0	0	307	125401	85592	64542	1546	0	313	0	521	0	261	0	8393	10775	5767	0	916	713	637	0	16873	0	513	14277	0	936	54008	51466	0	388	55995	2297	186920	808	0	735	881	4476	189914	150401	579	1399	274	443	0	284	0	79440	4460	0	50871	12763	0	521	17085	0	2448	2020	700	260373	819	16850
c__Kiritimatiellae	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	290	0	0	0	384	0	42411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	438	0	292	0	479	951	0	233237	389	430	353	0	0	591	0	0	268	0	0	264	299	0	0	276	276	0	0	254	0	0	0	0	0	311	0	942	325	308	363	15156	595	1183	0	640	103300	365	0	0	0	350	0	0	0	0	479	0	0	0	274	0	20148	0	0	1554	1322	0	0	3824	270	0	495	290	0	63142	0	0	1246	958	0	352	0	0	391	823	0	373	535184	0	0	263	580	0	748	0	685	0	0	695	123354	0	304839	758	0	32494	0	516	74122	0	0	56686	404	1147
c__Thermoplasmata	0	0	0	0	5079	0	0	0	0	0	325	0	0	0	382	0	0	0	0	0	0	0	0	25987	0	8106	4062	0	0	1240	0	0	0	0	3002	0	0	0	0	0	0	0	0	0	0	12803	0	0	0	1058	0	0	0	0	0	0	0	0	0	14413	0	0	0	0	0	0	0	15562	0	0	0	0	23675	0	0	1723	0	0	0	261	0	0	0	32335	36569	0	0	0	336	41427	0	0	47513	0	18675	6175	0	0	0	0	0	0	386	0	0	0	299	0	0	0	0	0	0	12019	0	0	0	0	39320	46891	0	0	0	60723	20372	0	0	0	0	0	0	0	0	505	0	0	14557	0	0	0	0	18722	0	0	0	0	0	0	0	0	0	0	16817	0	0	859	0	0	315	0	0	0	0	0	0	0	0	0	0	372	0	7644	0	0	0	0	322	65824	689	24601	325	0	0	0	0	4935	0	0	3035	257	27322
c__Methanobacteria	0	0	0	0	0	398	0	0	0	0	590	0	0	351	0	0	0	0	3726	0	0	0	0	3091	0	263	0	0	0	0	483	0	0	0	595	0	0	0	0	0	0	2440	0	0	0	0	0	0	0	0	342	251	385	0	0	0	0	0	0	0	0	0	0	0	312	0	0	341	0	0	0	0	2186	0	0	402	0	0	0	443	0	0	0	850	957	0	0	6373	538	6928	0	0	46641	0	9196	301	0	0	0	866	0	0	1711	0	0	0	0	1427	0	0	0	0	0	22071	0	328	0	0	1687	4846	1267	0	1363	298	633	0	0	0	831	0	0	0	0	14180	0	0	1242	0	2423	2001	0	269	0	0	0	0	689	72006	22741	58429	505	2853	28995	284	0	565	0	347	906	568	0	0	867	0	517	0	0	10059	0	0	0	2231	0	425	0	0	0	829	0	274	1335	0	14805	0	363	1048	0	0	394	784	23768
c__Fusobacteriia	0	0	0	0	0	0	0	0	0	928	256	0	0	0	0	1339	0	5477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0	0	0	12349	0	13853	0	0	4461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	584	0	0	265	0	0	0	0	0	0	0	0	0	0	0	569	0	0	0	0	0	0	0	0	0	364	2496	0	0	0	343	0	0	0	0	0	0	3323	0	0	0	0	0	0	0	0	268	0	0	0	0	0	336	0	1293	0	0	0	0	0	538	85251	0	2531	1575	0	0	0	0	596	0	31413	0	263	0	1998	0	276	0	0	0	0	297	1177	0	261	0	388	287	0	0	0	0	18884	38986	350	0	0	607	147031	265	313	0	0	0	358	0	0	0	0	0	0	0	0	0	0	296	0	361	0	0	262	0	521	309	0	420
c__Bradimonadia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	98509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	0	0	0	0	0
