sample_name	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	awigen_id
bushbuckridge_31	human gut metagenome	Homo sapiens	Human stool	2017-09-18	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2106
bushbuckridge_32	human gut metagenome	Homo sapiens	Human stool	2017-09-18	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2368
bushbuckridge_33	human gut metagenome	Homo sapiens	Human stool	2017-09-18	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0499
bushbuckridge_34	human gut metagenome	Homo sapiens	Human stool	2017-09-18	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0234
bushbuckridge_35	human gut metagenome	Homo sapiens	Human stool	2017-09-19	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0461
bushbuckridge_36	human gut metagenome	Homo sapiens	Human stool	2017-09-18	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0289
bushbuckridge_37	human gut metagenome	Homo sapiens	Human stool	2017-09-19	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0084
bushbuckridge_38	human gut metagenome	Homo sapiens	Human stool	2017-09-19	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0225
bushbuckridge_39	human gut metagenome	Homo sapiens	Human stool	2017-09-20	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2144
bushbuckridge_40	human gut metagenome	Homo sapiens	Human stool	2017-09-20	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0418
bushbuckridge_41	human gut metagenome	Homo sapiens	Human stool	2017-09-20	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0321
bushbuckridge_42	human gut metagenome	Homo sapiens	Human stool	2017-09-21	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2700
bushbuckridge_43	human gut metagenome	Homo sapiens	Human stool	2017-09-21	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0625
bushbuckridge_44	human gut metagenome	Homo sapiens	Human stool	2017-09-22	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2261
bushbuckridge_45	human gut metagenome	Homo sapiens	Human stool	2017-09-22	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2277
bushbuckridge_46	human gut metagenome	Homo sapiens	Human stool	2017-09-26	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2658
bushbuckridge_47	human gut metagenome	Homo sapiens	Human stool	2017-09-26	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2867
bushbuckridge_48	human gut metagenome	Homo sapiens	Human stool	2017-09-11	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2339
bushbuckridge_49	human gut metagenome	Homo sapiens	Human stool	2017-09-29	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2587
bushbuckridge_50	human gut metagenome	Homo sapiens	Human stool	2017-09-29	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2265
bushbuckridge_51	human gut metagenome	Homo sapiens	Human stool	2017-09-29	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2178
bushbuckridge_52	human gut metagenome	Homo sapiens	Human stool	2017-10-04	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2854
bushbuckridge_53	human gut metagenome	Homo sapiens	Human stool	2017-10-02	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0767
bushbuckridge_54	human gut metagenome	Homo sapiens	Human stool	2017-10-02	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2976
bushbuckridge_55	human gut metagenome	Homo sapiens	Human stool	2017-10-02	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2035
bushbuckridge_56	human gut metagenome	Homo sapiens	Human stool	2017-10-09	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0237
bushbuckridge_57	human gut metagenome	Homo sapiens	Human stool	2017-10-03	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0325
bushbuckridge_58	human gut metagenome	Homo sapiens	Human stool	2017-10-03	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0791
bushbuckridge_59	human gut metagenome	Homo sapiens	Human stool	2017-09-11	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0549
bushbuckridge_60	human gut metagenome	Homo sapiens	Human stool	2017-10-03	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2599
bushbuckridge_61	human gut metagenome	Homo sapiens	Human stool	2017-10-04	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0940
bushbuckridge_62	human gut metagenome	Homo sapiens	Human stool	2017-10-04	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2362
bushbuckridge_63	human gut metagenome	Homo sapiens	Human stool	2017-10-05	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2364
bushbuckridge_64	human gut metagenome	Homo sapiens	Human stool	2017-10-05	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2736
bushbuckridge_65	human gut metagenome	Homo sapiens	Human stool	2017-10-06	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0405
bushbuckridge_66	human gut metagenome	Homo sapiens	Human stool	NA	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2890
bushbuckridge_67	human gut metagenome	Homo sapiens	Human stool	2017-10-06	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0812
bushbuckridge_68	human gut metagenome	Homo sapiens	Human stool	2017-10-06	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0819
bushbuckridge_69	human gut metagenome	Homo sapiens	Human stool	2017-10-10	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2803
bushbuckridge_70	human gut metagenome	Homo sapiens	Human stool	2017-10-10	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0430
bushbuckridge_71	human gut metagenome	Homo sapiens	Human stool	2017-10-10	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0683
bushbuckridge_72	human gut metagenome	Homo sapiens	Human stool	2017-10-12	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2228
bushbuckridge_73	human gut metagenome	Homo sapiens	Human stool	2017-10-12	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2182
bushbuckridge_74	human gut metagenome	Homo sapiens	Human stool	2017-10-12	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2257
bushbuckridge_75	human gut metagenome	Homo sapiens	Human stool	2017-09-13	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0551
bushbuckridge_76	human gut metagenome	Homo sapiens	Human stool	2017-10-12	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0095
bushbuckridge_77	human gut metagenome	Homo sapiens	Human stool	2017-10-12	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2143
bushbuckridge_78	human gut metagenome	Homo sapiens	Human stool	2017-09-04	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2002
bushbuckridge_79	human gut metagenome	Homo sapiens	Human stool	2017-09-13	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0740
bushbuckridge_80	human gut metagenome	Homo sapiens	Human stool	2017-09-14	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0148
bushbuckridge_81	human gut metagenome	Homo sapiens	Human stool	2017-09-22	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2270
bushbuckridge_82	human gut metagenome	Homo sapiens	Human stool	2017-09-22	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0651
bushbuckridge_83	human gut metagenome	Homo sapiens	Human stool	2017-10-03	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2999
bushbuckridge_84	human gut metagenome	Homo sapiens	Human stool	2017-09-12	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0202
bushbuckridge_85	human gut metagenome	Homo sapiens	Human stool	2017-09-12	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0201
bushbuckridge_86	human gut metagenome	Homo sapiens	Human stool	2017-09-12	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2907
bushbuckridge_87	human gut metagenome	Homo sapiens	Human stool	2018-09-15	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0956
bushbuckridge_88	human gut metagenome	Homo sapiens	Human stool	2018-09-21	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0414
bushbuckridge_89	human gut metagenome	Homo sapiens	Human stool	2018-09-21	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0215
bushbuckridge_90	human gut metagenome	Homo sapiens	Human stool	2018-09-21	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0144
bushbuckridge_91	human gut metagenome	Homo sapiens	Human stool	2018-09-23	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0058
bushbuckridge_92	human gut metagenome	Homo sapiens	Human stool	2018-09-22	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2876
bushbuckridge_93	human gut metagenome	Homo sapiens	Human stool	2018-09-17	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0228
bushbuckridge_94	human gut metagenome	Homo sapiens	Human stool	2018-09-22	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0217
bushbuckridge_95	human gut metagenome	Homo sapiens	Human stool	2018-09-23	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2751
bushbuckridge_96	human gut metagenome	Homo sapiens	Human stool	2018-09-23	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0224
bushbuckridge_97	human gut metagenome	Homo sapiens	Human stool	2018-09-23	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB1491
bushbuckridge_98	human gut metagenome	Homo sapiens	Human stool	2018-09-15	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0584
bushbuckridge_99	human gut metagenome	Homo sapiens	Human stool	2018-09-23	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0257
bushbuckridge_100	human gut metagenome	Homo sapiens	Human stool	2018-09-24	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0562
bushbuckridge_101	human gut metagenome	Homo sapiens	Human stool	2018-09-24	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0193
bushbuckridge_102	human gut metagenome	Homo sapiens	Human stool	2018-09-29	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB2444
bushbuckridge_103	human gut metagenome	Homo sapiens	Human stool	2018-09-29	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0561
bushbuckridge_104	human gut metagenome	Homo sapiens	Human stool	2018-09-24	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0205
bushbuckridge_105	human gut metagenome	Homo sapiens	Human stool	2018-09-30	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0636
bushbuckridge_106	human gut metagenome	Homo sapiens	Human stool	2018-09-29	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0662
bushbuckridge_107	human gut metagenome	Homo sapiens	Human stool	2018-10-06	South Africa: Bushbuckridge, Mpumalanga	24.82 S 31.26 E	AB0949
