species	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	site	rank
Ruminococcus sp. CAG:488	3263.28916574494	-0.675953618828643	0.462052431371514	-1.46293704552577	0.143484606019573	0.21707009700031	Bushbuckridge	species
Prevotella stercorea	18831.5165685851	-0.675103188073074	0.402562941190757	-1.67701275749864	0.0935399871861539	0.152631108123644	Bushbuckridge	species
Blautia sp. AM28-36	2544.12002274342	-0.672993439463281	0.419198429584505	-1.60542929545401	0.108399361621314	0.170904967543214	Bushbuckridge	species
Bacteroides fragilis	45125.7593726992	-0.664219618432084	0.391490297941296	-1.69664388089557	0.0897640084200604	0.148465267332361	Bushbuckridge	species
Firmicutes bacterium CAG:65_45_313	9154.26890730821	-0.663718349301113	0.325460366395565	-2.03932158207685	0.0414179430506073	0.074161331656987	Bushbuckridge	species
Salmonella enterica	2596.46524227154	-0.648801010483839	0.286340935308364	-2.26583394297129	0.0234615523098305	0.0449248020569941	Bushbuckridge	species
Bacteroidales bacterium H8	13387.4312600405	-0.646625862336332	0.40399284806376	-1.60058740008753	0.109468334806623	0.172143210434249	Bushbuckridge	species
Firmicutes bacterium CAG:240	1200.02684502396	-0.645707092459789	0.324246464931672	-1.99140827208666	0.0464360205630749	0.0817004767588013	Bushbuckridge	species
Oscillibacter sp. UBA6647	355.469839647774	-0.642574249822683	0.146976840616082	-4.37194218578388	1.23146138739935e-05	6.38886377907183e-05	Bushbuckridge	species
Erysipelotrichaceae bacterium AF19-24AC	3489.27713991346	-0.641525016536285	0.251016965281296	-2.55570381793667	0.0105973278213404	0.0216585117426048	Bushbuckridge	species
Prevotella fusca	619.062898363157	-0.641070685597661	0.346418098595957	-1.85056926354581	0.064231544972523	0.110137140673224	Bushbuckridge	species
Firmicutes bacterium CAG:345	532.422239354709	-0.639644532828047	0.31385956371045	-2.0379959917938	0.0415503337228282	0.0741795663816375	Bushbuckridge	species
Prevotella timonensis	659.896933839336	-0.63805797703398	0.29149969153427	-2.18888045361437	0.0286055301098903	0.0534263285437028	Bushbuckridge	species
Tympanopsis confertula	410.8143221608	-0.627550643823127	0.10274179878181	-6.10803637140753	1.00864371281489e-09	1.74927638193897e-08	Bushbuckridge	species
Clostridium sp. HMSC19A11	631.405481765762	-0.619640697630488	0.628335380205823	-0.986162353976492	0.324053449510719	0.428766377200301	Bushbuckridge	species
Butyricicoccus sp. AF15-40	894.265425017896	-0.617186623032673	0.177594224765362	-3.47526291380309	0.000510352894462739	0.00152603057605361	Bushbuckridge	species
uncultured Prevotella sp.	14190.8365039544	-0.603809057622785	0.346391631808436	-1.74313985147513	0.0813091889381221	0.13671655868543	Bushbuckridge	species
Bacteroides massiliensis	4289.06224660283	-0.597864621230357	0.397030188973737	-1.50584171640889	0.132107811446114	0.20249858976715	Bushbuckridge	species
uncultured Butyricicoccus sp.	591.861466744484	-0.594022685829456	0.174315818959533	-3.40773826136432	0.000655036937078413	0.0018933686705076	Bushbuckridge	species
uncultured Bacteroidales bacterium	7175.30231619666	-0.593874460402698	0.216203710921219	-2.74682824763862	0.00601746373619717	0.0134286782642341	Bushbuckridge	species
Clostridiaceae bacterium AF18-31LB	427.968606434706	-0.593703200385429	0.19025987455884	-3.12048560823485	0.00180553120398103	0.00462429299922569	Bushbuckridge	species
Bacteroidales bacterium	666.747030499069	-0.583785202026366	0.171623381700157	-3.40154818209035	0.000670053157765533	0.00192759368134445	Bushbuckridge	species
Coriobacteriia bacterium	958.361621514086	-0.570965254404422	0.219077092959858	-2.60622982846062	0.00915450125192358	0.0192276202765315	Bushbuckridge	species
Oscillospiraceae bacterium UBA790	2581.57155841513	-0.570453063725218	0.237840728197896	-2.39846668839061	0.0164638739252167	0.0324466606253459	Bushbuckridge	species
