SRR13378614	SRR13378610	SRR13378559	SRR13378572	SRR13378597	SRR13378569	SRR13378573	SRR13378607	SRR13378577	SRR13378635	SRR13378632	SRR13378554	SRR13378574	SRR13378624	SRR13378623	SRR13378596	SRR13378583	SRR13378578	SRR13378618	SRR13378592	SRR13378626	SRR13378599	SRR13378591	SRR13378588	SRR13378631	SRR13378604	SRR13378620	SRR13378551	SRR13378546	SRR13378593	SRR13378590	SRR13378564	SRR13378613	SRR13378634	SRR13378556	SRR13378550	SRR13378598	SRR13378560	SRR13378584	SRR13378605	SRR13378547	SRR13378585	SRR13378575	SRR13378581	SRR13378562	SRR13378633	SRR13378587	SRR13378608	SRR13378611	SRR13378616	SRR13378565	SRR13378595	SRR13378579	SRR13378625	SRR13378609	SRR13378586	SRR13378621	SRR13378567	SRR13378622	SRR13378558	SRR13378606	SRR13378603	SRR13378576	SRR13378594	SRR13378582	SRR13378548	SRR13378627	SRR13378561	SRR13378549	SRR13378619	SRR13378568	SRR13378571	SRR13378555	SRR13378570	SRR13378612	SRR13378617	SRR13378589	SRR13378557	SRR13378600	SRR13378630	SRR13378602	SRR13378629	SRR13378566	SRR13378552	SRR13378601	SRR13378553	SRR13378628	SRR13378580	SRR13378563	SRR13378615
Nitrospirae	365	641	239	821	624	432	759	472	509	931	437	71	370	94	552	379	512	329	231	629	463	565	173	393	162	365	800	243	337	278	277	293	543	396	165	504	463	325	523	409	213	144	1573	380	989	454	442	289	242	827	176	1368	766	682	752	328	459	287	131	514	94	769	479	277	471	240	402	189	108	612	153	667	97	166	378	379	248	180	693	282	500	573	1037	178	834	862	1743	323	504	495
Acidobacteria	1403	2705	1381	2230	3429	808	2407	3835	2124	5217	2901	455	1804	1029	2312	2353	1060	1511	1265	2705	2346	4017	533	2191	1118	1244	4130	1431	1223	1015	1688	648	1424	2625	918	2918	2690	2406	2178	1882	781	712	8904	1631	7036	2523	2984	1166	2312	3723	445	6234	4066	3889	3261	1018	3174	573	409	2198	896	5491	3088	1934	3214	1558	2466	890	502	1560	931	3498	347	697	2903	1948	1098	1139	6976	1541	2822	4222	3274	725	2888	3379	7667	1484	1905	2144
Dictyoglomi	4	4	1	2	13	6	10	0	1	2	0	0	0	0	1	2	22	5	1	16	6	3	0	1	5	7	5	0	0	2	2	11	22	2	0	33	7	2	0	5	0	1	12	23	2	1	0	0	2	4	0	7	2	0	7	1	0	8	0	1	0	0	0	1	1	0	1	2	0	20	0	19	4	0	0	2	1	2	0	1	11	2	16	9	52	1	8	1	17	6
Elusimicrobia (74152)	2826	598	225	522	633	155	305202	539	61825	971	21474	100	215	457	30677	5810	560	775275	296	495	6374	946	102	31525	203	460	1893	5708	200	61226	337	211	13033	497	127	413	884	313	308	11671	276	152	4657	488	2659	432	4173	215	9689	680	219	211497	711	29619	925	1818	551	199	112	38977	4043	705	1490	318	647	4293	984	3686	365	267	140	7341	161	98	528	3469	10139	190	4331	267	773	759	61862	262	992	524	1408	273	632	463
Aquificae (200783)	48	68	24	100	80	23	185	81	61	222	32	11	48	1	50	52	108	75	12	158	126	88	10	37	19	95	65	21	6	112	30	77	76	37	47	89	78	22	152	60	45	17	258	129	50	57	38	16	29	34	14	120	60	34	190	33	35	24	13	58	5	30	59	40	66	18	58	14	14	83	5	89	11	9	53	58	42	24	64	38	88	94	226	40	181	138	121	50	112	45
Thermotogae (200918)	181	213	92	224	286	92	683	112	229	486	135	28	228	31	106	88	112	143	67	147	454	220	46	135	92	328	246	54	40	85	96	173	271	100	64	142	239	118	50	133	136	82	567	257	483	237	129	61	89	205	29	641	187	187	476	85	115	229	44	255	24	123	136	146	140	115	169	80	93	202	30	330	69	45	93	213	99	119	178	117	428	160	1050	51	1131	123	586	125	447	235
Deferribacteres (200930)	249	90	41	103	164	50	241	110	452	127	55	29	77	8	126	32	65	100	25	102	112	2759	14	59	38	123	140	44	31	128	32	85	122	76	8	122	143	76	9	68	66	33	377	141	126	87	69	11	164	55	7	290	105	63	105	21	158	23	96	161	16	73	46	44	61	48	71	35	21	28	8	118	13	20	66	73	145	48	82	32	128	65	255	39	182	35	240	46	175	90
Chrysiogenetes (200938)	83	21	21	8	18	12	4	25	5	18	9	23	3	2	11	20	7	3	8	58	13	21	8	30	2	5	21	7	2	110	2	23	4	6	3	55	16	23	2	8	10	0	16	93	33	6	25	8	17	15	16	21	33	39	15	62	13	1	24	3	4	48	13	17	16	22	15	0	0	6	2	26	12	4	13	13	37	11	35	6	51	17	13	0	15	140	42	9	10	19
Thermodesulfobacteria (200940)	21	16	4	23	20	33	109	16	10	32	9	3	49	0	7	4	31	14	9	108	32	26	8	11	6	30	46	6	2	29	4	6	13	11	16	93	21	11	9	17	42	7	74	39	31	10	25	3	8	19	7	53	10	16	35	16	8	19	7	22	8	33	26	18	9	12	21	5	6	3	0	11	10	1	20	16	9	32	51	15	16	50	68	14	82	37	32	17	43	17
Spirochaetes	2305	89755	15641	4523	5044	11893	1234851	2745	2868	406192	57891	58961	14180	915	3117	31432	2278	2203	7779	3947	385217	3137	52598	104196	6891	70375	570931	12758	1036	1804	29234	3130	154896	267883	1692	3444	259488	283268	1087	3779	2424	61616	790138	240993	4921	12869	3478	6058	24004	2598	1244	436115	3275	16859	218815	44278	23519	2395	567	515557	18998	47866	78928	16240	18452	7228	2349	189128	8881	2109	931	200174	77028	763	1476	20860	134907	119210	26157	1659	114534	4442	193438	37348	6183	1896	15057	1588	5460	3418
