SRR13378614	SRR13378610	SRR13378559	SRR13378572	SRR13378597	SRR13378569	SRR13378573	SRR13378607	SRR13378577	SRR13378635	SRR13378632	SRR13378554	SRR13378574	SRR13378624	SRR13378623	SRR13378596	SRR13378583	SRR13378578	SRR13378618	SRR13378592	SRR13378626	SRR13378599	SRR13378591	SRR13378588	SRR13378631	SRR13378604	SRR13378620	SRR13378551	SRR13378546	SRR13378593	SRR13378590	SRR13378564	SRR13378613	SRR13378634	SRR13378556	SRR13378550	SRR13378598	SRR13378560	SRR13378584	SRR13378605	SRR13378547	SRR13378585	SRR13378575	SRR13378581	SRR13378562	SRR13378633	SRR13378587	SRR13378608	SRR13378611	SRR13378616	SRR13378565	SRR13378595	SRR13378579	SRR13378625	SRR13378609	SRR13378586	SRR13378621	SRR13378567	SRR13378622	SRR13378558	SRR13378606	SRR13378603	SRR13378576	SRR13378594	SRR13378582	SRR13378548	SRR13378627	SRR13378561	SRR13378549	SRR13378619	SRR13378568	SRR13378571	SRR13378555	SRR13378570	SRR13378612	SRR13378617	SRR13378589	SRR13378557	SRR13378600	SRR13378630	SRR13378602	SRR13378629	SRR13378566	SRR13378552	SRR13378601	SRR13378553	SRR13378628	SRR13378580	SRR13378563	SRR13378615
Armatimonadetes	211	308	141	128	337	66	277	533	204	601	358	48	98	97	260	209	52	92	180	355	483	500	69	256	93	164	396	169	152	114	260	107	148	272	79	364	356	375	143	232	61	74	1402	163	640	266	339	110	242	480	84	881	543	514	407	94	476	54	52	183	70	623	281	281	373	256	326	67	35	124	107	543	24	56	326	222	140	120	1077	186	415	482	415	81	408	423	844	166	267	219
Chloroflexi	1795	3225	1323	1709	4816	747	2887	4702	2255	7595	3823	401	1465	1281	2694	2524	902	2059	1582	2945	2944	5098	461	2152	1427	1745	4445	1373	1478	1133	2155	835	1495	3338	738	3118	2765	1955	1598	2229	1029	618	7907	1738	8403	2950	2815	1524	2559	4745	643	7835	5550	5597	4879	940	4368	618	537	2304	986	5569	3010	1735	2904	1961	3130	716	495	1426	1174	3246	379	460	3216	2472	1058	1307	7903	1787	4001	5399	3932	792	4430	3396	9055	1738	2581	3149
Actinobacteria (201174)	91808	93475	14672	46951	291092	13740	18196	796767	55787	349112	202887	4747	75198	23515	331271	103611	11112	30102	92777	43220	480339	267115	8977	42364	111202	167449	219620	19812	211354	11984	467442	8217	25785	174806	45750	64641	208300	26885	31140	39681	18314	13700	129119	17916	1050559	268547	35154	25823	114247	236390	7980	132799	103734	224876	1066290	12226	54259	6074	62117	41523	64416	167163	37160	34147	41611	35898	138516	6662	13022	199602	220239	24951	8915	7234	186904	211188	15351	36029	128322	254469	225146	753009	47886	9602	246122	69088	458649	31790	20045	166825
Tenericutes	23264	1832	1134	2165	45436	20553	14442	920	8038	22060	5713	559	3924	141	1492	1147	3331	1675	3104	2814	19178	12352	268	2211	4318	22553	5447	265	5528	3069	5269	2550	13173	1161	193	2142	14933	3368	184	3870	1155	715	10077	8359	1091	4569	7048	356	2617	10833	730	153429	4358	5515	81948	461	5508	610	720	7063	171	3156	2815	2182	4484	2352	8511	685	2905	1279	147	7689	1390	1349	429	5366	2579	6289	2374	1169	9227	3018	602131	1918	174479	668	114672	23505	78628	7671
Candidatus Eremiobacteraeota	54	193	59	85	193	18	121	322	136	317	143	23	87	54	131	132	55	89	92	216	135	232	24	146	48	51	223	71	76	77	130	95	89	224	24	201	139	187	163	131	37	42	649	114	483	109	122	74	156	238	47	365	368	252	200	45	248	36	17	151	66	856	133	124	200	83	185	52	35	62	55	222	14	21	126	119	61	112	358	100	230	218	291	30	201	147	641	98	121	110
Candidatus Dormibacteraeota	65	112	53	13	160	17	37	253	44	219	141	9	46	63	216	133	14	31	62	104	107	187	15	72	53	69	213	44	58	5	62	26	47	142	34	80	155	89	74	95	21	17	376	40	417	113	77	34	100	226	25	228	174	187	133	14	169	5	27	84	41	204	66	78	104	58	108	15	14	50	60	129	11	14	193	115	23	44	347	77	180	205	101	25	135	120	297	55	52	104
Nitrospinae	50	123	58	56	101	36	102	111	61	167	68	18	34	24	110	120	39	55	68	100	105	137	21	94	37	44	105	40	16	22	36	39	89	74	34	34	91	66	24	64	40	9	319	90	246	112	88	21	47	104	89	246	114	109	136	30	114	53	19	134	14	78	69	59	84	30	74	51	27	73	27	153	10	23	75	138	46	25	122	44	104	115	282	31	111	53	215	44	103	60
Candidatus Tectomicrobia	0	8	3	2	13	1	2	25	3	40	27	0	3	4	19	8	1	5	12	3	9	18	0	11	4	5	19	2	7	1	9	4	3	11	1	5	12	5	4	4	2	0	42	4	46	15	6	2	17	40	4	49	21	20	19	1	7	0	0	8	2	11	1	9	6	4	12	0	2	3	7	14	2	0	16	12	4	4	18	12	45	29	6	1	16	9	23	2	9	11
Caldiserica	1	49	1	5	15	3	20	8	8	21	11	6	4	1	11	12	2	1	8	5	28	13	1	45	6	12	19	3	3	6	6	7	24	9	2	12	4	1	0	4	3	0	98	40	4	6	4	3	9	50	0	129	8	43	25	4	54	2	2	21	1	6	2	7	8	2	4	4	0	8	2	50	2	2	35	12	0	9	24	5	65	5	65	1	32	2	32	1	22	16
Candidatus Cryosericota	1	7	23	0	5	66	0	41	14	8	9	0	25	5	3	6	6	1	1	2	2	40	0	4	5	3	26	0	0	0	7	1	0	6	2	9	7	0	86	7	5	5	2	2	118	3	9	2	9	3	0	17	3	2	23	0	3	0	7	3	0	8	45	0	2	2	4	1	2	1	5	7	1	0	53	4	1	1	35	3	9	64	4	0	2	9	72	1	2	2
Candidatus Bipolaricaulota	3	26	10	6	41	3	15	26	15	55	22	2	10	6	14	22	8	7	16	12	27	31	1	13	8	8	17	13	7	0	15	2	8	19	2	24	18	10	12	10	5	6	60	11	40	16	22	8	5	44	14	52	58	60	27	4	40	1	2	15	8	89	20	12	53	13	25	3	4	5	4	39	6	4	22	17	5	14	79	8	24	28	21	8	37	13	87	15	19	47
Candidatus Aminicenantes	67	107	38	93	165	19	88	162	113	279	140	32	36	85	113	99	53	45	52	130	149	151	14	76	56	49	150	44	81	35	74	44	72	130	40	196	99	98	64	98	19	44	389	73	232	157	98	45	73	186	15	413	149	134	136	41	86	15	21	97	26	156	97	84	89	76	114	28	20	90	28	173	9	28	92	120	65	48	274	52	106	156	152	40	187	67	315	50	132	109
Candidatus Atribacteria	52	41	14	21	71	13	68	21	22	35	31	6	6	6	33	3	13	83	8	24	71	30	1	12	20	93	32	9	7	21	25	38	30	18	3	25	23	13	17	39	13	7	92	81	51	27	31	8	10	14	16	82	19	23	63	22	33	13	20	22	2	13	21	9	5	25	31	33	9	13	0	29	18	4	12	27	21	22	22	12	49	23	88	19	136	7	111	24	62	40
Candidatus Saccharibacteria	145	244	142	149	440	132	429	699	199	1616	274	16	97	68	235	137	114	140	131	682	620	415	23	132	111	948	164	85	67	145	245	135	170	276	261	283	90	127	86	123	82	67	450	249	657	677	221	241	294	116	118	905	244	100	500	122	296	62	102	200	70	212	189	138	156	154	129	72	55	161	63	394	43	57	2083	414	115	57	285	199	241	677	797	74	680	114	623	140	268	145
Candidatus Sumerlaeota	2	11	3	1	4	0	6	5	21	11	8	1	4	3	2	3	1	4	5	6	0	22	4	20	1	2	12	5	1	6	1	3	7	6	2	36	6	8	3	7	2	5	76	5	14	3	7	1	9	8	0	40	12	4	19	5	31	0	2	3	1	13	11	18	9	8	6	2	2	9	3	16	0	8	13	1	4	10	8	4	8	6	25	1	11	7	18	6	4	9
Candidatus Poribacteria	91	132	49	72	69	41	65	76	113	142	48	18	43	16	112	54	61	44	31	117	169	156	15	67	25	50	72	34	15	56	44	69	98	75	12	37	57	55	34	78	23	35	202	72	312	59	72	18	48	65	16	178	54	110	120	100	50	42	43	95	17	91	55	41	92	62	106	51	16	71	14	87	16	37	39	125	61	27	118	38	82	94	198	20	152	60	217	60	81	76
candidate division WWE3	25	59	9	19	39	25	88	6	33	58	54	6	17	8	32	12	23	29	32	56	64	60	0	30	13	57	80	21	6	31	19	26	38	32	10	12	36	51	11	55	75	14	91	54	34	49	48	3	19	13	9	124	33	52	99	15	52	12	5	47	5	14	25	16	32	24	45	5	10	13	3	70	18	2	15	44	21	11	22	7	50	51	109	2	114	22	80	21	48	41
candidate division NC10	8	10	1	3	96	3	2	24	9	19	7	0	2	7	5	18	5	14	2	7	2	19	0	4	0	15	10	3	2	4	5	7	7	5	2	3	6	3	0	5	4	2	3	0	13	9	8	1	16	3	1	14	41	12	11	4	7	11	2	9	1	13	6	2	5	5	5	1	1	11	8	3	0	1	6	5	2	2	49	2	34	19	15	8	15	7	12	7	2	16
Candidatus Calescamantes	1	1	0	0	1	0	3	3	1	9	1	0	1	0	0	0	1	0	0	1	5	1	0	0	1	5	0	1	0	0	2	0	4	3	0	0	3	0	1	1	1	0	3	1	0	1	0	0	0	0	0	2	0	3	1	0	1	0	0	2	0	1	0	0	2	1	2	0	0	3	0	1	0	0	0	7	0	2	0	1	0	1	29	0	10	0	10	0	2	1
Candidatus Berkelbacteria	52	20	23	45	38	25	51	19	31	58	12	7	23	13	39	24	17	14	9	93	80	48	7	40	10	30	46	12	5	41	14	11	35	21	7	13	29	48	9	42	69	16	138	119	56	10	26	2	15	20	2	115	20	31	57	29	11	6	6	23	7	24	40	21	37	27	10	31	4	14	5	103	29	10	7	48	29	24	39	33	34	25	170	6	109	15	110	13	39	24
candidate division CPR1	1	2	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	2	1	0	0	2	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	1	0	0	0
candidate division CPR2	1	5	5	4	4	2	25	4	0	4	0	1	1	0	28	0	21	4	3	1	28	3	3	6	2	2	3	0	2	14	4	2	8	0	1	2	2	5	0	1	1	1	23	7	3	3	4	3	1	6	0	23	3	2	6	1	5	1	1	15	0	2	0	5	6	1	2	10	3	1	0	39	0	1	1	1	5	2	2	2	7	1	30	0	17	1	28	1	9	1
candidate division CPR3	2	11	0	5	4	0	15	1	3	1	0	0	3	0	1	1	2	1	0	1	9	1	2	2	2	11	21	0	0	0	4	0	1	0	1	1	11	3	0	1	2	0	61	18	4	2	6	0	2	0	0	8	2	3	3	0	2	0	0	2	0	0	1	2	2	0	8	0	1	0	0	6	1	1	3	3	1	6	3	0	3	4	7	0	24	0	7	8	7	1
Candidatus Peregrinibacteria	139	74	85	198	95	75	173	59	193	106	124	10	125	7	186	100	84	158	34	164	123	78	25	61	24	139	88	84	37	89	55	45	122	63	18	107	115	104	48	68	99	18	323	95	126	81	121	20	53	77	17	252	86	98	109	54	41	35	28	114	34	120	102	56	67	71	79	37	20	109	11	232	23	28	38	68	67	30	102	37	88	123	380	21	275	84	295	75	134	81
candidate division WOR-3	15	36	13	28	48	8	97	23	43	132	29	3	20	7	43	17	13	18	27	51	77	48	5	30	14	47	40	22	27	44	25	15	30	29	10	27	46	58	8	32	17	4	144	24	47	43	26	15	7	48	73	143	58	47	64	17	52	55	8	75	12	28	12	43	28	26	34	10	9	26	19	93	3	9	15	21	33	14	65	21	43	41	84	18	199	20	104	26	142	31
Candidatus Rokubacteria	144	354	149	54	436	62	228	548	169	600	533	25	106	139	321	332	44	91	201	273	285	543	59	231	158	99	467	260	136	60	203	48	99	364	53	305	382	414	189	200	32	45	1453	66	1125	321	264	150	299	730	53	618	662	579	400	115	436	35	37	163	117	633	292	192	363	215	380	56	38	149	151	411	14	39	566	265	111	116	820	234	357	599	292	63	407	255	1042	142	127	300
Candidatus Dadabacteria	99	41	21	46	36	29	26	53	34	81	12	7	56	4	35	15	40	13	7	202	64	31	18	46	6	23	48	29	1	85	15	17	43	17	7	21	40	60	48	32	15	15	106	64	55	81	36	11	19	39	4	200	44	52	71	25	26	60	32	49	7	33	32	54	46	17	23	12	9	16	3	62	17	18	9	57	68	26	33	15	48	23	194	33	128	21	101	10	87	28
Candidatus Abawacabacteria	0	4	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0
Candidatus Coatesbacteria	0	1	1	0	9	0	2	5	1	23	4	0	9	20	6	5	0	0	3	3	3	5	1	6	1	1	6	2	2	1	2	1	5	11	0	2	5	1	3	10	3	4	8	0	12	5	17	5	4	7	0	12	49	6	11	2	7	1	0	2	0	12	4	2	23	1	5	2	0	7	0	12	1	0	2	6	0	1	36	8	8	6	4	0	5	1	23	3	1	7
Candidatus Delongbacteria	8	13	8	4	5	0	3	8	5	16	6	1	4	0	6	2	3	1	7	12	5	2	0	5	1	6	6	1	3	2	4	2	1	3	2	10	5	8	0	0	1	1	62	4	14	12	11	1	1	10	0	19	16	5	17	1	3	2	1	2	0	1	5	10	3	2	9	3	2	2	4	11	0	1	0	3	4	3	10	3	5	1	6	2	14	5	36	1	0	2
Candidatus Doudnabacteria	6	11	10	17	13	9	96	16	43	23	13	2	4	1	10	13	4	46	8	21	10	29	2	13	11	8	17	17	4	19	14	6	16	10	2	7	16	8	4	31	2	3	48	47	193	19	21	6	28	20	1	118	20	42	31	5	84	0	1	15	11	15	7	5	27	6	5	1	2	25	1	20	4	2	8	19	7	2	19	12	25	22	32	6	20	10	51	8	18	27
Candidatus Edwardsbacteria	6	8	0	1	7	0	3	5	3	7	7	0	1	1	3	1	1	2	0	0	12	6	0	0	4	2	6	1	0	1	1	1	5	2	0	2	5	0	0	1	1	1	6	1	8	3	10	7	1	3	0	11	2	5	14	0	4	0	0	10	0	1	4	3	0	1	2	1	0	1	0	6	0	1	2	7	0	0	2	1	14	10	1	0	7	2	11	1	4	7
Candidatus Eisenbacteria	35	64	46	11	64	4	38	77	32	110	86	5	20	24	45	84	5	16	39	38	79	112	10	81	33	28	101	34	32	8	69	6	65	62	5	56	38	121	37	28	10	21	300	20	283	85	45	29	90	126	7	136	214	71	86	11	202	5	19	21	33	171	53	60	38	68	84	37	30	19	48	92	5	26	99	57	26	36	284	70	55	156	107	20	72	48	221	36	39	87
Candidatus Firestonebacteria	9	36	10	48	36	4	52	7	40	27	10	5	0	2	5	13	4	23	3	9	76	11	1	45	4	25	19	3	2	13	9	9	23	3	0	19	16	5	3	14	1	8	322	149	9	13	18	2	4	10	0	259	12	40	28	4	5	12	3	37	1	3	3	11	26	7	5	12	4	1	3	86	13	2	5	8	4	6	9	1	50	14	46	1	21	13	72	7	24	18
Candidatus Fischerbacteria	5	9	0	4	5	3	27	2	7	32	11	0	2	4	37	4	8	5	1	10	15	8	0	4	2	23	13	0	1	7	1	3	11	7	3	6	31	25	1	10	1	1	15	32	177	4	6	0	6	1	3	9	2	6	11	1	0	27	0	6	0	1	2	4	4	5	4	0	8	2	1	7	2	2	3	4	1	4	2	3	49	2	8	1	15	5	10	0	37	11
Candidatus Fraserbacteria	0	0	0	12	0	1	9	2	4	5	0	0	3	0	0	0	4	7	2	13	3	0	1	1	0	4	1	3	0	2	2	1	0	0	4	2	1	0	1	1	0	3	9	1	3	1	3	1	1	1	0	7	1	16	2	1	5	2	0	6	0	0	1	1	1	2	1	0	1	1	0	8	1	0	1	3	1	1	5	0	1	0	8	0	18	1	3	1	7	1
Candidatus Glassbacteria	2	0	2	0	2	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	2	0	1	1	0	0	1	3	0	0	3	1	1	0	0	1	0	1	1	1	0	0	2	0	0	0	0	1	0	3	0	0	1	0	1	0	0	0	0	1	1	0	2	0	1	1	1	0
Candidatus Handelsmanbacteria	4	55	5	1	13	2	4	40	11	32	40	2	24	7	23	16	2	9	14	12	14	34	0	6	10	8	31	8	29	4	17	5	3	22	6	16	16	5	19	9	0	2	16	5	98	18	20	11	7	100	13	42	35	28	12	10	39	2	6	8	7	87	15	7	87	8	19	2	3	4	19	17	2	3	22	29	7	7	65	13	15	44	14	5	24	12	74	8	12	25
Candidatus Lindowbacteria	3	6	7	0	4	0	2	11	5	11	8	2	0	1	1	7	2	0	1	2	3	15	0	24	4	1	3	4	4	0	12	0	0	9	2	5	9	0	1	8	0	1	10	2	25	7	5	2	11	5	2	16	25	16	7	0	13	3	0	0	4	57	4	8	32	3	8	2	0	4	6	17	0	0	9	5	4	3	70	1	4	8	5	1	13	5	15	2	1	9
Candidatus Raymondbacteria	4	31	4	2	13	2	23	7	25	50	18	15	2	2	4	19	4	9	9	4	19	50	0	16	3	345	53	30	2	39	8	6	33	23	0	7	24	15	1	13	3	12	70	11	18	20	13	6	17	9	0	43	12	18	27	0	4	1	2	46	9	9	7	8	12	8	4	48	0	6	2	44	2	1	7	15	8	2	18	6	35	22	88	0	45	4	123	4	11	21
Candidatus Riflebacteria	86	11	20	43	14	2	12	42	17	21	14	1	56	3	18	11	3	5	12	69	6	23	7	10	12	6	18	12	0	38	14	3	21	20	24	14	7	8	34	13	9	5	72	4	45	17	24	5	16	31	20	60	26	19	16	50	49	2	6	12	5	25	18	14	10	8	23	13	3	18	4	30	8	30	33	26	37	3	12	13	24	23	55	8	17	26	64	9	47	11
Candidatus Schekmanbacteria	14	14	3	11	23	3	27	19	11	41	7	2	60	3	19	8	20	5	5	77	34	17	3	7	6	11	86	1	5	5	6	11	11	14	11	6	30	10	5	7	7	5	38	45	13	85	10	2	9	12	1	76	8	25	36	5	7	4	3	5	4	7	17	9	15	18	13	24	4	55	3	34	6	4	10	25	7	6	8	1	30	17	29	4	42	9	63	21	44	20
Candidatus Wallbacteria	16	19	8	29	34	14	35	13	16	39	18	11	5	3	17	14	41	50	14	50	26	18	1	16	3	18	38	15	4	24	6	5	19	14	8	55	15	23	11	7	5	14	59	14	63	20	51	9	17	14	1	96	77	19	23	7	95	8	2	49	5	17	11	19	34	14	20	9	1	6	5	47	2	4	6	11	21	3	28	15	24	20	32	12	31	54	58	24	22	11
Candidatus Wirthbacteria	2	1	18	0	2	1	0	8	0	5	1	0	33	0	5	0	0	1	0	3	1	2	3	1	3	1	0	1	0	0	2	2	2	3	8	2	1	0	1	3	0	1	5	2	6	7	1	0	2	3	0	5	1	1	5	3	1	1	0	2	1	1	6	1	2	14	2	3	2	1	2	1	1	13	1	0	2	0	1	1	2	2	2	0	4	2	12	1	3	2
Candidatus Desantisbacteria	7	10	7	4	12	4	16	12	14	18	8	4	5	3	6	13	2	36	3	23	15	17	17	6	4	26	12	2	3	0	9	20	9	11	4	4	8	11	5	7	4	5	17	6	42	7	14	2	13	5	1	34	5	25	18	0	19	18	2	2	2	15	7	6	15	16	10	5	2	9	3	20	3	0	0	7	4	8	42	2	39	13	57	8	27	4	21	9	28	13
Candidatus Goldbacteria	0	27	7	6	1	1	30	2	23	16	14	6	3	1	0	1	3	38	3	16	30	5	1	29	7	5	5	1	1	2	8	8	9	1	0	5	7	4	1	8	4	1	19	30	12	14	73	2	3	4	40	224	6	14	9	7	0	4	3	8	1	9	6	6	2	2	6	7	4	1	0	122	1	0	3	7	5	8	8	1	41	0	13	6	17	7	22	8	59	25
candidate division FCPU426	30	14	14	178	29	6	163	16	30	37	23	3	11	1	28	7	2	35	9	58	23	12	7	26	25	24	45	11	4	11	16	3	24	21	6	12	15	28	9	16	32	7	80	34	62	26	28	4	22	25	7	68	55	28	45	16	32	1	9	27	8	27	14	23	21	19	33	17	2	3	1	35	8	6	10	24	14	13	28	31	49	28	56	11	40	10	104	9	21	14
Bacteroidetes	5088713	3770897	2106478	24733480	4428480	7192171	8730425	946528	2837661	1323849	565611	1774965	7780803	240076	7204237	2093473	11820748	6892920	861952	19589958	2023116	2194050	3749592	1890033	1338301	1276759	9010007	3763895	2760130	14474454	850476	10569328	4611663	2398476	6291748	8688267	5543908	1263931	6609315	2948430	5082939	2810749	7669230	12447631	2076797	3072537	3536821	310510	1045129	4748001	4130269	5814720	1659281	1769834	9699702	11475628	1035139	5816038	722867	5329818	512145	2927747	7074459	1063439	2465943	4095936	2295278	3863594	3432138	6143968	631514	395310	1536051	3954683	1145258	2777973	2519332	1549420	2469759	1395111	1507742	6383181	3581611	1689144	1923792	13250156	2413223	4168014	9031049	6168608
Chlorobi	329	165	70	360	128	45	166	126	155	208	128	28	168	41	116	135	142	304	77	363	122	184	76	158	44	63	174	83	30	218	65	82	168	148	71	354	152	227	295	71	55	35	738	152	251	106	175	72	90	146	52	530	158	209	139	179	125	30	89	200	32	128	221	85	253	112	106	127	113	50	47	298	22	94	61	88	181	52	261	79	173	211	449	47	218	220	301	126	154	78
Ignavibacteriae	326	633	171	798	456	141	1049	246	554	769	302	80	297	117	256	306	190	355	181	582	459	346	65	399	125	428	587	211	70	362	146	158	369	333	168	383	389	417	208	252	214	175	1317	561	702	390	446	87	238	403	141	1134	296	510	675	226	256	213	75	394	67	463	245	249	305	207	260	148	98	263	69	574	96	151	189	241	230	115	551	174	449	430	1168	116	856	286	968	269	632	340
Candidatus Kapabacteria	15	14	14	9	16	2	7	5	20	49	26	2	10	3	41	18	12	5	7	22	12	47	3	13	5	6	20	6	5	8	6	8	12	7	1	22	18	11	4	7	12	3	40	17	32	11	15	17	16	12	44	67	5	9	13	8	8	7	2	12	6	79	19	21	7	18	6	5	4	7	5	25	0	10	23	10	7	7	25	5	38	13	44	2	9	16	68	14	36	8
Rhodothermaeota	8	38	38	26	23	16	18	37	30	35	41	3	42	8	39	53	13	25	11	64	35	56	10	6	10	24	45	9	20	17	24	5	26	24	11	17	37	160	52	27	49	5	166	25	190	44	48	16	44	63	7	55	28	26	44	44	14	8	9	31	13	278	64	26	32	24	38	6	1	14	9	53	2	7	35	19	35	9	106	12	22	26	65	3	21	44	80	14	15	42
Balneolaeota	15	122	31	71	83	20	126	36	55	99	24	11	49	2	23	68	25	20	16	169	131	74	18	147	27	31	50	10	9	156	22	35	366	28	50	32	22	171	38	50	50	25	660	269	173	88	76	4	54	21	41	550	20	58	54	24	7	56	8	136	7	25	41	56	55	31	35	18	34	39	16	281	4	39	9	24	18	12	74	12	141	62	546	9	135	53	121	39	69	51
Cyanobacteria	3866	5544	4776	5461	3732	12248	191996	1694	6330	11082	2199	10905	1646	370	3271	1489	22823	6604	1097	3606	4130	2214	692	6103	2642	4338	5101	4419	433	1703	1235	8919	29953	3100	8959	1496	6659	4550	1053	1535	21264	1716	118206	18878	3337	4294	4025	518	1111	3251	426	16815	3113	2871	3821	4473	1384	5926	639	14211	358	3989	5746	1313	3013	1951	8256	1628	854	1453	324	33530	2083	7973	1156	4767	11800	1379	2216	1822	3424	1966	59488	757	12639	4797	5292	2127	108212	2097
Candidatus Melainabacteria	20536	11196	21870	28341	45053	24034	171277	10341	63580	18401	5176	7375	15960	91	18643	3242	35084	33364	3244	4017	18449	17954	49997	13561	5600	9542	22103	16411	2683	6391	2476	35224	61536	9045	13231	5853	12542	11495	3016	6715	28986	5847	143161	26467	12098	13495	26195	2688	3480	5829	8389	30247	15357	5657	16215	8926	2747	14464	1314	32519	796	4951	19874	2249	27298	6069	7833	10345	3297	15561	166	48223	6916	15363	5055	9014	22150	18486	3747	4918	9284	7035	294582	10890	17120	26372	7045	11347	127929	13064
Candidatus Margulisbacteria	8	23	7	19	16	12	59	32	11	97	11	1	9	2	8	11	25	12	12	33	15	9	9	17	17	20	20	3	2	20	12	12	33	10	21	3	16	3	11	11	6	20	67	20	19	19	17	3	10	10	4	47	16	11	18	12	21	9	2	10	10	31	23	12	9	17	7	7	0	2	1	25	3	4	4	9	14	6	10	7	20	18	56	5	30	8	74	5	50	6
Candidatus Gracilibacteria	46	13	7	45	36	5	35	7	103	34	9	3	1	6	51	27	7	5	7	114	66	5	0	14	1	82	75	6	13	39	10	9	54	39	9	7	10	56	3	9	51	4	19	24	14	45	7	5	3	28	8	181	18	9	65	1	52	5	1	42	9	2	9	41	2	53	9	6	4	0	0	14	2	4	1	31	19	45	43	20	58	2	115	9	150	20	59	4	38	46
Candidatus Microgenomates	0	1	0	9	5	1	1	0	0	2	0	0	0	0	0	0	0	28	0	1	6	3	1	2	3	0	1	0	0	4	1	1	2	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0	3	1	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	2	0	3	1	4	6	7	0	0	0
Candidatus Curtissbacteria	26	11	9	26	19	31	51	7	17	74	10	5	1	3	25	4	7	1	4	6	12	9	0	11	2	17	25	3	6	17	5	6	19	9	1	5	19	6	1	4	8	5	88	35	24	6	11	7	29	10	0	22	43	12	13	4	8	5	0	11	2	5	6	9	6	2	2	12	2	15	14	20	4	4	3	10	13	4	7	10	19	50	66	4	37	13	31	7	20	13
Candidatus Daviesbacteria	9	43	5	76	25	53	174	10	17	21	19	4	4	3	10	10	20	39	3	30	44	16	1	10	2	47	22	9	4	49	16	7	34	4	6	5	125	8	2	11	13	9	27	87	27	13	60	2	5	12	3	71	16	43	34	34	20	11	4	20	0	21	12	14	5	20	11	12	9	31	3	33	8	4	4	13	9	13	8	11	30	15	93	10	49	24	25	7	39	19
Candidatus Levybacteria	35	39	11	36	63	45	202	27	32	104	38	2	33	2	27	13	32	18	12	81	83	78	7	60	32	84	51	4	8	29	23	38	58	16	15	23	45	47	13	34	34	21	98	76	34	67	16	8	16	20	2	145	30	20	92	14	12	20	5	38	2	56	22	37	67	34	33	10	4	26	5	87	5	23	7	32	15	37	37	28	53	30	629	14	198	5	87	20	65	54
Candidatus Gottesmanbacteria	14	17	12	21	22	7	61	28	29	17	2	1	10	1	21	4	3	27	12	40	34	17	6	16	3	45	33	5	0	6	10	13	22	18	5	61	18	13	18	35	45	5	90	30	27	20	37	6	9	12	1	116	23	10	24	9	9	2	1	20	1	24	39	10	20	6	19	7	3	13	5	70	1	2	10	21	13	12	32	4	22	19	63	5	48	78	53	17	51	15
Candidatus Shapirobacteria	9	22	0	19	33	4	35	6	11	12	12	1	2	1	8	11	17	8	3	15	33	19	3	24	11	32	14	6	1	14	3	14	26	7	1	10	7	13	1	9	17	4	144	31	9	3	5	1	3	5	3	119	8	17	27	9	5	49	4	9	2	3	8	11	10	9	10	14	2	7	3	40	2	4	7	12	9	3	5	6	44	9	118	13	16	10	19	9	45	13
Candidatus Woesebacteria	26	32	8	25	35	5	86	20	51	50	23	7	9	14	24	17	29	25	22	39	88	29	4	43	12	44	51	21	3	37	27	13	46	16	6	9	34	48	7	25	10	7	154	165	44	36	31	4	19	24	23	173	16	28	76	5	55	10	5	20	7	33	8	13	35	29	24	5	7	9	7	123	2	16	11	22	13	13	33	7	73	29	111	15	202	11	126	40	79	26
Candidatus Roizmanbacteria	38	26	2	22	54	18	416	8	94	32	18	3	20	2	25	9	20	31	11	125	169	27	11	107	14	141	125	4	6	254	21	271	112	51	4	31	34	17	9	31	77	32	392	165	13	72	27	7	10	39	71	356	14	15	63	8	17	118	10	104	2	18	18	14	24	10	19	13	10	22	9	327	10	5	17	61	32	14	11	7	135	25	611	24	209	27	94	30	200	23
Candidatus Pacebacteria	18	14	73	13	68	5	23	50	29	24	44	5	15	1	17	16	35	10	16	84	38	34	3	29	12	102	26	9	10	15	39	10	26	18	1	9	19	15	16	14	13	8	72	30	55	102	18	2	28	41	9	87	35	61	41	14	7	12	6	11	9	62	7	60	36	15	30	38	2	5	10	63	8	5	16	30	22	18	101	29	59	54	97	7	47	15	102	31	49	19
