SRR1927149	SRR1929408	SRR1929484	SRR1929485	SRR1929563	SRR1929574	SRR1930121	SRR1930122	SRR1930123	SRR1930128	SRR1930132	SRR1930133	SRR1930134	SRR1930136	SRR1930138	SRR1930140	SRR1930141	SRR1930142	SRR1930143	SRR1930144	SRR1930145	SRR1930149	SRR1930176	SRR1930177	SRR1930179	SRR1930187	SRR1930244
Caudovirales	4491	88551	31212	13842	1447	1246	12003	7962	26486	6746	34701	13272	2900	521	2317	8391	41449	1116	3600	162	34502	26098	20397	1004	3734	117	3225
Herpesvirales	8	12	6	1	4	6	11	1	46	3	1	5	5	8	6	4	10	9	5	5	6	2	1	0	2	1	2
Ligamenvirales	0	1	0	0	0	2	1	1	5	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1
Ortervirales	0	0	0	0	2	0	1	52	5	1	0	0	2	1	1	0	3	1	0	0	1	4	0	0	1	0	0
Nidovirales	4	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0
Picornavirales	51	1	1	0	8	2	24	4	5	0	0	2	17	1	2	0	11	2	0	0	1	2	0	1	0	3	6
Tymovirales	4	0	0	0	3	5	11	0	0	1	0	0	9	1	1	0	1	3	0	0	5	0	0	0	0	0	0
Mononegavirales	2	4	3	0	4	1	1	0	4	0	0	0	0	0	0	0	3	1	2	4	1	2	0	0	0	0	0
Bunyavirales	6	9	2	1	2	0	2	0	1	8	1	0	7	1	1	3	4	0	0	0	6	1	0	0	1	0	0
Articulavirales	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	3	0	0	1	0	0	0	0
Primates	3276	3352	985	569	1549	1342	2652	1462	3406	1409	471	475	2308	920	552	662	3015	654	856	383	1690	582	364	576	343	823	1055
Chytridiales	13	34	3	6	38	9	65	12	44	4	6	5	8	9	1	6	28	14	9	13	12	4	2	0	2	6	14
Spizellomycetales	57	73	14	10	15	16	46	33	84	31	6	5	44	14	7	11	64	10	10	11	35	9	1	4	2	16	19
Rhizophydiales	76	138	32	26	54	50	144	22	86	36	20	15	62	30	9	24	115	33	16	16	64	12	11	16	3	13	19
Rhizophlyctidales	94	49	13	4	32	13	79	18	52	10	8	7	62	8	3	9	74	4	5	6	16	2	4	4	3	15	5
