SRR1927149	SRR1929408	SRR1929484	SRR1929485	SRR1929563	SRR1929574	SRR1930121	SRR1930122	SRR1930123	SRR1930128	SRR1930132	SRR1930133	SRR1930134	SRR1930136	SRR1930138	SRR1930140	SRR1930141	SRR1930142	SRR1930143	SRR1930144	SRR1930145	SRR1930149	SRR1930176	SRR1930177	SRR1930179	SRR1930187	SRR1930244
Wallemiomycetes	6	39	10	4	5	6	13	97	32	5	3	8	5	2	9	5	16	7	12	4	13	8	1	6	4	6	6
Geminibasidiomycetes	3	24	2	4	11	14	26	18	43	9	0	7	3	5	6	0	18	16	7	3	12	6	0	1	1	2	1
Gammaproteobacteria	677183	1220963	346864	168031	148329	97645	307716	372104	195160	232068	91531	133091	411543	34457	44479	69921	272084	93510	53812	15720	72695	11595	9015	39682	63416	85951	70924
Alphaproteobacteria	17030	104392	18825	11020	20138	7929	68536	17358	38249	12278	4942	20726	13746	10416	5047	7522	81010	16211	5196	4807	18713	3824	1258	4693	2963	3705	5882
Betaproteobacteria	10565	21216	4812	2843	6997	4045	25066	5832	22239	8857	3159	7727	6865	2436	2045	2756	26773	8437	2059	2307	9530	1273	512	1576	5794	1164	4371
Zetaproteobacteria	220	259	41	25	46	50	219	43	194	27	6	36	156	23	24	23	328	91	25	9	73	30	9	11	6	20	21
Oligoflexia	813	935	216	113	285	219	751	270	813	322	86	111	545	183	102	121	836	180	127	100	358	90	29	105	44	92	119
Acidithiobacillia	23	98	22	7	43	20	139	19	73	15	15	22	17	14	12	18	101	43	9	7	33	18	5	7	3	7	10
Candidatus Lambdaproteobacteria	3	22	2	2	5	1	8	3	20	7	0	1	1	4	2	2	11	5	3	1	3	0	0	0	0	1	0
Candidatus Muproteobacteria	8	33	9	3	12	10	75	2	39	2	1	19	13	3	6	2	52	36	10	10	12	2	1	2	0	1	5
Hydrogenophilalia	60	84	13	5	27	15	139	16	123	10	0	38	32	14	13	17	108	51	6	30	23	8	3	5	2	3	14
Deltaproteobacteria	3806	11515	2464	1247	3825	3408	20591	6440	10976	3071	724	9265	3388	2322	1760	1054	11877	9007	1560	2464	4782	1672	369	559	741	752	3266
Epsilonproteobacteria	4483	9571	2487	1297	1703	2734	3094	4751	9896	1550	1425	1286	3422	1584	1185	2090	20848	4488	1461	772	6749	2437	790	553	8358	911	3785
Fusobacteriia	5967	2988	955	554	1203	1014	2086	924	3185	1381	266	338	5608	726	274	575	2521	318	379	197	1128	266	228	409	215	457	10398
Nitrospira (203693)	341	736	156	107	202	178	800	182	709	115	71	136	247	97	72	106	693	221	95	88	236	56	31	84	44	71	121
Acidobacteriia	476	1732	331	177	643	445	2995	459	2036	303	123	736	457	259	287	192	2139	1125	267	366	562	208	62	94	80	100	251
Holophagae	28	103	27	6	33	15	157	25	79	10	3	67	30	12	6	11	97	69	14	19	19	8	2	2	3	3	14
Blastocatellia	129	145	43	20	44	39	169	65	168	43	15	29	100	21	44	28	214	89	49	47	66	25	6	13	5	13	16
Thermoanaerobaculia	3	22	3	4	0	4	15	3	13	2	2	4	1	0	0	4	15	4	2	0	2	0	0	0	0	0	0
Vicinamibacteria	6	15	0	1	4	11	38	6	37	4	1	10	3	2	4	3	35	14	0	2	12	0	0	2	0	1	3
Dictyoglomia	9	20	3	6	18	12	20	4	21	11	4	5	9	4	3	6	19	3	2	5	7	6	2	11	0	2	14
Endomicrobia	266	573	4	6	2	15	15	6	29	14	5	2	21	7	5	2	11	5	5	6	18	1	3	4	3	5	3
Elusimicrobia (641853)	6538	21874	5227	2632	164	419	348	1204	2332	75	510	46	3388	227	105	49	575	153	103	36	163	113	9	44	282	72	43
Aquificae (187857)	133	196	53	30	68	53	154	54	192	53	24	21	107	34	21	27	178	28	26	17	71	20	4	21	50	13	48
Thermotogae (188708)	406	774	218	125	269	256	547	199	778	264	93	113	375	147	94	100	686	122	118	104	391	80	55	81	60	136	252
Deferribacteres (68337)	160	300	100	58	74	116	198	111	237	101	27	40	133	49	27	55	273	37	41	41	86	36	17	52	34	42	43
Chrysiogenetes (118001)	2	17	6	2	4	9	32	9	19	3	2	4	9	5	6	3	40	15	7	11	14	2	4	1	4	4	7
Thermodesulfobacteria (67799)	85	59	17	11	19	12	41	21	35	16	4	18	48	15	3	5	47	10	5	9	24	11	7	12	6	12	18
Spirochaetia	118661	657596	141766	87264	169732	59315	279749	108887	139133	86112	46925	10024	134107	21299	10900	33966	327133	7783	14998	18767	127418	16787	82453	7369	80947	266057	499257
Synergistia	252	695	153	70	145	153	732	115	826	115	63	186	185	82	75	36	592	285	70	81	168	49	19	20	42	51	59
Calditrichae	53	29	4	4	10	7	44	11	29	4	1	7	34	8	5	8	40	10	4	2	31	1	1	1	2	6	6
Coprothermobacteria	2	6	0	0	0	0	2	1	1	0	0	1	0	0	0	0	3	6	6	1	6	1	0	0	0	0	0
Spartobacteria	55	150	30	19	52	50	270	43	206	15	10	66	48	14	27	14	161	116	23	37	54	24	3	21	2	3	35
Verrucomicrobiae	775	1644	340	163	550	645	2273	760	1784	344	122	512	640	257	236	161	1995	751	215	330	426	317	28	168	98	138	262
Opitutae	637	726	138	74	276	204	933	179	736	135	50	177	498	131	124	85	700	452	114	133	188	62	25	47	28	85	128
Methylacidiphilae	17	52	17	6	20	13	46	9	54	20	4	3	23	20	10	8	46	13	11	14	18	4	3	5	5	3	7
Kiritimatiellae	3	6	2	1	0	2	6	0	5	0	0	3	2	0	0	11	68	15	0	2	1	1	0	0	0	0	0
Planctomycetia	543	1297	265	138	571	461	2236	286	1223	213	104	396	458	188	176	174	1361	603	157	318	351	143	36	94	53	96	223
Phycisphaerae	164	502	113	46	166	168	672	179	555	93	37	181	171	101	84	57	690	280	52	100	159	47	12	57	37	18	86
Candidatus Brocadiae	100	88	20	18	26	24	45	17	48	13	8	4	63	7	8	2	33	10	8	1	14	7	5	5	1	2	10
Chlamydiia	460	930	226	140	721	363	1781	344	1511	589	547	260	349	203	107	285	936	122	155	126	397	392	52	197	166	117	1079
Lentisphaeria	1191	8464	2096	960	331	1040	1668	1270	1157	1178	226	492	1760	49397	14648	243	18709	43556	15458	21090	898	839	143	42	296	316	10161
Fibrobacteria	824	1563	364	173	526	343	1611	333	1163	264	253	297	566	187	184	235	1373	441	184	189	435	346	68	163	122	178	227
Gemmatimonadetes (219685)	43	167	43	15	42	65	269	51	220	41	12	71	43	20	27	28	286	157	31	35	78	21	10	11	5	2	36
Bacilli	45888	120660	20919	20715	35987	25076	77005	59673	119019	35701	12941	11368	48992	26462	10897	12525	90342	14680	18287	30988	30131	11552	8753	22147	7325	14693	25633
Clostridia	1239847	5019443	1047589	599454	1558927	1521229	5195059	2124310	5335205	1507075	486761	1441235	1226958	650100	536465	886004	4526250	1293943	629332	506262	2472467	548780	169654	494473	165146	239691	1610430
Erysipelotrichia	29391	95916	29838	13730	89716	47529	141562	331428	319356	176258	10908	8099	40433	40472	18434	16400	72301	15361	33655	8605	58564	9015	3389	75001	15494	9904	32489
Negativicutes	108495	279072	63140	35659	133438	80606	449058	139188	310493	123996	21834	73090	112776	28134	51529	41068	354892	92204	62652	29465	100747	71524	9615	27121	13260	8558	22188
Limnochordia	4	20	3	2	11	6	52	10	47	8	2	18	2	6	8	0	53	34	2	5	13	2	0	0	0	0	10
Tissierellia	1626	2604	714	469	1001	837	1680	826	2352	900	166	421	1295	573	288	377	1925	331	402	225	1010	230	124	263	170	347	3272
Deinococci	182	428	78	29	171	104	906	127	494	76	30	291	145	60	96	37	568	467	66	100	102	43	14	15	6	19	64
Chthonomonadetes	29	84	15	6	21	21	86	29	52	12	5	10	27	20	16	4	89	16	6	20	12	13	2	6	0	4	15
