SRR1927149	SRR1929408	SRR1929484	SRR1929485	SRR1929563	SRR1929574	SRR1930121	SRR1930122	SRR1930123	SRR1930128	SRR1930132	SRR1930133	SRR1930134	SRR1930136	SRR1930138	SRR1930140	SRR1930141	SRR1930142	SRR1930143	SRR1930144	SRR1930145	SRR1930149	SRR1930176	SRR1930177	SRR1930179	SRR1930187	SRR1930244
Poxviridae	60	37	6	5	10	6	15	11	19	2	1	5	38	6	2	8	36	8	3	4	9	5	3	1	2	6	2
Baculoviridae	14	14	4	0	4	5	9	6	14	7	2	4	5	0	7	2	19	6	6	2	9	7	4	3	0	0	19
Fuselloviridae	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polydnaviridae	0	1	0	0	1	0	1	5	0	3	0	0	1	3	0	0	2	0	1	0	0	0	0	0	0	0	3
Iridoviridae	6	8	0	1	2	4	7	0	10	0	1	0	6	0	0	2	1	6	2	0	5	0	0	0	0	0	3
Phycodnaviridae	8	33	6	3	28	3	42	5	33	20	2	6	10	3	9	13	49	13	11	3	23	3	2	4	4	7	6
Adenoviridae	4	4	0	1	0	8	8	0	3	0	1	8	7	1	1	0	0	1	0	0	4	0	1	0	0	0	1
Tectiviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Parvoviridae	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Geminiviridae	0	6	0	1	0	1	0	1	0	0	1	7	2	2	2	0	6	1	0	0	1	0	1	2	0	0	0
Microviridae	251	5264	272	212	1363	734	8322	468	7514	297	85	331	218	197	347	137	6237	360	168	104	288	44	21	266	47	116	197
Inoviridae	1	65	12	7	0	1	2	26	62	3	2	1	1	2	0	1	12	2	1	1	3	0	3	0	1	1	2
Myoviridae	577	39712	10967	4690	494	118	8998	3017	3321	2947	1387	12600	334	358	111	3362	9201	91	392	40	130	24820	19380	710	22	26	64
Siphoviridae	215	30548	15017	6782	793	175	2713	636	2441	174	4531	192	165	59	172	50	498	171	99	42	138	278	876	116	61	10	69
Podoviridae	3633	18188	5207	2355	142	939	224	4290	20691	3585	28779	470	2357	98	2029	4974	31706	849	3100	73	34198	986	130	168	3642	62	3071
Ackermannviridae	7	25	4	2	6	3	40	4	5	4	2	2	2	0	2	0	1	0	2	1	5	2	5	1	2	12	1
Herelleviridae	56	46	9	9	8	11	16	12	20	36	1	4	40	2	3	4	25	3	5	5	27	1	5	2	1	7	20
