SRR1927149	SRR1929408	SRR1929484	SRR1929485	SRR1929563	SRR1929574	SRR1930121	SRR1930122	SRR1930123	SRR1930128	SRR1930132	SRR1930133	SRR1930134	SRR1930136	SRR1930138	SRR1930140	SRR1930141	SRR1930142	SRR1930143	SRR1930144	SRR1930145	SRR1930149	SRR1930176	SRR1930177	SRR1930179	SRR1930187	SRR1930244
unclassified Poxviridae	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Orthopoxvirus	0	3	0	0	0	1	0	0	0	0	0	0	1	0	1	1	2	1	1	0	1	3	1	1	0	1	0
Parapoxvirus	2	4	0	1	0	0	1	4	2	0	1	4	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0
Avipoxvirus	10	2	1	1	6	1	6	4	3	0	0	0	6	1	1	0	4	1	0	0	4	0	2	0	2	1	0
Capripoxvirus	0	4	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Leporipoxvirus	0	0	0	1	1	0	0	0	6	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0
Molluscipoxvirus	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	1	1	0	0	0	0	0	1
Yatapoxvirus	2	3	1	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
unclassified Chordopoxvirinae	43	8	0	0	0	0	1	0	2	0	0	0	27	0	0	3	8	0	0	1	0	0	0	0	0	2	0
Cervidpoxvirus	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Crocodylidpoxvirus	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	2	0	1	0	0	0	0	0	0	0
Centapoxvirus	1	9	1	1	0	2	1	3	0	0	0	0	1	2	0	0	0	1	0	0	1	2	0	0	0	0	1
Betaentomopoxvirus	0	0	1	0	3	0	2	0	2	1	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0
Alphaentomopoxvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
