SRR1927149	SRR1929408	SRR1929484	SRR1929485	SRR1929563	SRR1929574	SRR1930121	SRR1930122	SRR1930123	SRR1930128	SRR1930132	SRR1930133	SRR1930134	SRR1930136	SRR1930138	SRR1930140	SRR1930141	SRR1930142	SRR1930143	SRR1930144	SRR1930145	SRR1930149	SRR1930176	SRR1930177	SRR1930179	SRR1930187	SRR1930244
Armatimonadetes	121	448	83	36	143	126	678	116	444	88	23	154	126	63	75	31	506	234	41	112	142	57	7	13	7	12	59
Chloroflexi	1529	4426	882	474	1613	1339	7078	1208	5083	963	309	1802	1346	725	716	455	5059	2615	642	944	1559	499	168	272	182	278	735
Actinobacteria (201174)	11800	74591	15244	8995	46335	12623	331494	28743	92640	18772	5063	50385	13182	10276	13953	6990	89294	95478	11477	15568	16045	7938	1933	3545	2560	3214	10510
Tenericutes	14509	44783	16835	9137	6062	2023	6189	2218	4376	1707	1850	1740	11834	5911	2569	1612	9155	1200	4078	505	9890	542	160	450	590	554	14083
Candidatus Eremiobacteraeota	72	229	49	21	77	48	382	50	216	47	12	90	70	19	47	25	263	206	25	53	66	34	13	7	5	10	24
Candidatus Dormibacteraeota	25	140	33	17	45	33	252	31	189	22	11	83	47	12	30	18	169	134	24	44	43	22	1	22	4	7	27
Nitrospinae	89	214	43	18	67	60	235	53	191	47	13	44	80	38	18	44	169	59	31	35	68	12	8	16	9	24	39
Candidatus Tectomicrobia	0	17	2	3	3	3	21	1	13	3	1	3	1	3	2	0	11	27	3	3	3	2	0	0	0	0	1
Caldiserica	38	42	9	7	6	9	15	5	58	17	2	4	20	7	2	1	47	9	3	4	9	5	1	3	1	2	3
Candidatus Cryosericota	3	36	2	4	5	4	63	2	9	1	2	3	3	3	1	2	8	5	2	3	6	2	0	0	1	1	3
Candidatus Bipolaricaulota	13	35	6	4	11	14	44	16	38	2	0	23	14	10	7	3	25	27	4	8	16	5	0	1	2	0	8
Candidatus Aminicenantes	90	202	61	41	75	78	265	62	220	69	10	75	60	34	39	29	239	117	53	41	64	20	11	22	11	13	27
Candidatus Atribacteria	61	104	30	18	52	55	103	31	145	57	9	20	52	50	9	20	100	28	26	15	53	8	13	14	11	25	20
