sample	site	site2
SRS045528	United States	United States
SRS058770	United States	United States
SRS013158	United States	United States
SRS023971	United States	United States
SRS019968	United States	United States
SRS146812	United States	United States
SRS016495	United States	United States
SRS013639	United States	United States
SRS016954	United States	United States
SRS077552	United States	United States
SRS020328	United States	United States
SRS142712	United States	United States
SRS052027	United States	United States
SRS078242	United States	United States
SRS015794	United States	United States
SRS047014	United States	United States
SRS018656	United States	United States
SRS015890	United States	United States
SRS019030	United States	United States
SRS018575	United States	United States
SRS146764	United States	United States
SRS018984	United States	United States
SRS145497	United States	United States
SRS063489	United States	United States
SRS012969	United States	United States
SRS078176	United States	United States
SRS144506	United States	United States
SRS054352	United States	United States
SRS016989	United States	United States
SRS015133	United States	United States
SRS011061	United States	United States
SRS022609	United States	United States
SRS064973	United States	United States
SRS074670	United States	United States
SRS019161	United States	United States
SRS045645	United States	United States
SRS143181	United States	United States
SRS063518	United States	United States
SRS016203	United States	United States
SRS147919	United States	United States
SRS015663	United States	United States
SRS098514	United States	United States
SRS022713	United States	United States
SRS011271	United States	United States
SRS014459	United States	United States
SRS144537	United States	United States
SRS023346	United States	United States
SRS077335	United States	United States
SRS016437	United States	United States
SRS058723	United States	United States
SRS104197	United States	United States
SRS140513	United States	United States
SRS052697	United States	United States
SRS011405	United States	United States
SRS020622	United States	United States
SRS012273	United States	United States
SRS053335	United States	United States
SRS043667	United States	United States
SRS057478	United States	United States
SRS016056	United States	United States
SRS064276	United States	United States
SRS014313	United States	United States
SRS019685	United States	United States
SRS049712	United States	United States
SRS049402	United States	United States
SRS018313	United States	United States
SRS074964	United States	United States
SRS018817	United States	United States
SRS024265	United States	United States
SRS019397	United States	United States
SRS147139	United States	United States
SRS048870	United States	United States
SRS100021	United States	United States
SRS045739	United States	United States
SRS097889	United States	United States
SRS075078	United States	United States
SRS015578	United States	United States
SRS101376	United States	United States
SRS148196	United States	United States
SRS015782	United States	United States
SRS015264	United States	United States
SRS024132	United States	United States
SRS142503	United States	United States
SRS013215	United States	United States
SRS053214	United States	United States
SRS018133	United States	United States
SRS021948	United States	United States
SRS053398	United States	United States
SRS077502	United States	United States
SRS098717	United States	United States
SRS050422	United States	United States
SRS078665	United States	United States
SRS014683	United States	United States
SRS054590	United States	United States
SRS101433	United States	United States
SRS049164	United States	United States
SRS077294	United States	United States
SRS050925	United States	United States
SRS148424	United States	United States
SRS064557	United States	United States
SRS045713	United States	United States
SRS013098	United States	United States
SRS023526	United States	United States
SRS042628	United States	United States
SRS021153	United States	United States
SRS023829	United States	United States
SRS098571	United States	United States
SRS104400	United States	United States
SRS024663	United States	United States
SRS042284	United States	United States
SRS017916	United States	United States
SRS147652	United States	United States
SRS019601	United States	United States
SRS142890	United States	United States
SRS013687	United States	United States
SRS064645	United States	United States
SRS024549	United States	United States
SRS016335	United States	United States
SRS024435	United States	United States
SRS024331	United States	United States
SRS017247	United States	United States
SRS022524	United States	United States
SRS017433	United States	United States
SRS047044	United States	United States
SRS021484	United States	United States
SRS142505	United States	United States
SRS143991	United States	United States
SRS017521	United States	United States
SRS147445	United States	United States
SRS045004	United States	United States
SRS143598	United States	United States
SRS056519	United States	United States
SRS014923	United States	United States
SRS050752	United States	United States
SRS054956	United States	United States
SRS016753	United States	United States
SRS056259	United States	United States
SRS011452	United States	United States
SRS015431	United States	United States
SRS043411	United States	United States
SRS019582	United States	United States
SRS077849	United States	United States
SRS017191	United States	United States
SRS011586	United States	United States
SRS146813	United States	United States
SRS017701	United States	United States
SRS140645	United States	United States
SRS075963	United States	United States
SRS053649	United States	United States
SRS019910	United States	United States
SRS050299	United States	United States
SRS018351	United States	United States
SRS015065	United States	United States
SRS077753	United States	United States
SRS062427	United States	United States
SRS051882	United States	United States
SRS013476	United States	United States
SRS143342	United States	United States
SRS017307	United States	United States
SRS075341	United States	United States
SRS143070	United States	United States
SRS098827	United States	United States
SRS058070	United States	United States
SRS147346	United States	United States
SRS014235	United States	United States
SRS049900	United States	United States
SRS140492	United States	United States
SRS016018	United States	United States
SRS017821	United States	United States
SRS143417	United States	United States
SRS144362	United States	United States
SRS016267	United States	United States
SRS077086	United States	United States
SRS104311	United States	United States
SRS049959	United States	United States
SRS063985	United States	United States
SRS147022	United States	United States
SRS148721	United States	United States
SRS021219	United States	United States
SRS050026	United States	United States
SRS022071	United States	United States
SRS103987	United States	United States
SRS023914	United States	United States
SRS105153	United States	United States
SRS016517	United States	United States
SRS019787	United States	United States
SRS043001	United States	United States
SRS014979	United States	United States
SRS015854	United States	United States
SRS011302	United States	United States
SRS023583	United States	United States
SRS011134	United States	United States
SRS078419	United States	United States
SRS077730	United States	United States
SRS020869	United States	United States
SRS016095	United States	United States
SRS024075	United States	United States
SRS024009	United States	United States
SRS011529	United States	United States
SRS051031	United States	United States
SRS015217	United States	United States
SRS053573	United States	United States
SRS075398	United States	United States
SRS019267	United States	United States
SRS048164	United States	United States
SRS014287	United States	United States
SRS015369	United States	United States
SRS065504	United States	United States
SRS012902	United States	United States
SRS063040	United States	United States
SRS076929	United States	United States
SRS049995	United States	United States
SRS014613	United States	United States
SRS013521	United States	United States
SRS057717	United States	United States
SRS016438	United States	United States
SRS020233	United States	United States
SRS049896	United States	United States
SRS043701	United States	United States
SRS011239	United States	United States
SRS053356	United States	United States
SRS013800	United States	United States
SRS012849	United States	United States
SRS147088	United States	United States
SRS024625	United States	United States
SRS013638	United States	United States
SRS019381	United States	United States
SRS055533	United States	United States
SRS143876	United States	United States
SRS056273	United States	United States
SRS055982	United States	United States
SRS142599	United States	United States
SRS147766	United States	United States
SRS098644	United States	United States
SRS077194	United States	United States
SRS016585	United States	United States
SRS019068	United States	United States
SRS104485	United States	United States
SRS013951	United States	United States
SRS024388	United States	United States
SRS011084	United States	United States
A1	South Africa	Soweto
A2	South Africa	Soweto
A3	South Africa	Soweto
A4	South Africa	Soweto
A5	South Africa	Soweto
A6	South Africa	Soweto
A7	South Africa	Soweto
A8	South Africa	Soweto
A9	South Africa	Soweto
A10	South Africa	Soweto
A11	South Africa	Soweto
A12	South Africa	Soweto
A13	South Africa	Soweto
A14	South Africa	Soweto
A16	South Africa	Soweto
A17	South Africa	Soweto
A18	South Africa	Soweto
A19	South Africa	Soweto
A20	South Africa	Soweto
A21	South Africa	Soweto
A22	South Africa	Soweto
A23	South Africa	Soweto
A24	South Africa	Soweto
A25	South Africa	Soweto
A26	South Africa	Soweto
A27	South Africa	Soweto
A28	South Africa	Soweto
A29	South Africa	Soweto
A30	South Africa	Soweto
A31	South Africa	Soweto
A32	South Africa	Soweto
A33	South Africa	Soweto
A34	South Africa	Soweto
A35	South Africa	Soweto
A36	South Africa	Soweto
A37	South Africa	Soweto
A38	South Africa	Soweto
A39	South Africa	Soweto
A40	South Africa	Soweto
A41	South Africa	Soweto
A42	South Africa	Soweto
A43	South Africa	Soweto
A44	South Africa	Soweto
A45	South Africa	Soweto
A46	South Africa	Soweto
A47	South Africa	Soweto
A48	South Africa	Soweto
A49	South Africa	Soweto
A50	South Africa	Soweto
A51	South Africa	Soweto
A52	South Africa	Soweto
A53	South Africa	Soweto
A54	South Africa	Soweto
A55	South Africa	Soweto
A56	South Africa	Soweto
A57	South Africa	Soweto
A58	South Africa	Soweto
A59	South Africa	Agincourt
A60	South Africa	Agincourt
A61	South Africa	Agincourt
A62	South Africa	Agincourt
A63	South Africa	Agincourt
A64	South Africa	Agincourt
A65	South Africa	Agincourt
A66	South Africa	Agincourt
A67	South Africa	Agincourt
A68	South Africa	Agincourt
A69	South Africa	Agincourt
A70	South Africa	Agincourt
A71	South Africa	Agincourt
A72	South Africa	Agincourt
A73	South Africa	Agincourt
